step,psi_adaptive,psi_control,S_adaptive,Ms_adaptive
0.0,0.0326,0.0329,0.9976,0.1164
0.05,0.0531,0.055,0.9952,0.1332
0.1,0.0734,0.0776,0.9929,0.1502
0.15000000000000002,0.0938,0.1013,0.9907,0.1676
0.2,0.1146,0.1264,0.9885,0.1853
0.25,0.136,0.153,0.9863,0.2032
0.30000000000000004,0.1582,0.1815,0.9843,0.2214
0.35000000000000003,0.1812,0.2121,0.9823,0.2399
0.4,0.2053,0.2452,0.9803,0.2586
0.45,0.2305,0.2811,0.9785,0.2776
0.5,0.2571,0.3201,0.9766,0.2969
0.55,0.2851,0.3627,0.9749,0.3165
0.6000000000000001,0.3148,0.4095,0.9733,0.3363
0.65,0.3463,0.4609,0.9717,0.3564
0.7000000000000001,0.3798,0.5179,0.9702,0.3769
0.75,0.4156,0.5811,0.9688,0.3976
0.8,0.4539,0.6516,0.9675,0.4187
0.8500000000000001,0.495,0.7305,0.9664,0.4401
0.9,0.5392,0.8193,0.9653,0.4619
0.9500000000000001,0.5868,0.9197,0.9644,0.4841
1.0,0.6384,1.0336,0.9635,0.5067
1.05,0.6942,1.1635,0.9629,0.5297
1.1,0.7548,1.3123,0.9623,0.5532
1.1500000000000001,0.8208,1.4836,0.962,0.5773
1.2000000000000002,0.8929,1.6816,0.9618,0.6019
1.25,0.9718,1.9117,0.9618,0.627
1.3,1.0584,2.1803,0.9621,0.6528
1.35,1.1536,2.4914,0.9626,0.6793
1.4000000000000001,1.2586,2.8509,0.9633,0.7066
1.4500000000000002,1.3747,3.2682,0.9643,0.7345
1.5,1.5025,3.7552,0.9657,0.7628
1.55,1.6415,4.3276,0.9674,0.7916
1.6,1.7928,5.006,0.9694,0.8208
1.6500000000000001,1.9576,5.8188,0.9719,0.8506
1.7000000000000002,2.1375,6.7909,0.9748,0.881
1.75,2.3342,7.9355,0.9782,0.912
1.8,2.5494,9.2869,0.9821,0.9438
1.85,2.7854,10.8745,0.9866,0.9763
1.9000000000000001,3.0447,12.7115,0.9918,1.0096
1.9500000000000002,3.3304,14.7848,0.9976,1.0439
2.0,3.646,16.9977,1.0043,1.0793
2.0500000000000003,3.9958,19.1286,1.0117,1.1158
2.1,4.3848,21.2835,1.0202,1.1536
2.15,4.8192,23.5859,1.0297,1.1928
2.2,5.3063,26.1759,1.0404,1.2336
2.25,5.855,29.1793,1.0524,1.2759
2.3000000000000003,6.4732,32.6899,1.0653,1.3188
2.35,7.1493,36.7598,1.0792,1.3622
2.4000000000000004,7.887,41.3864,1.0941,1.4063
2.45,8.6757,46.4163,1.1102,1.4511
2.5,9.5038,51.4329,1.1276,1.4969
2.5500000000000003,10.3629,56.2703,1.1462,1.5435
2.6,11.2455,61.033,1.1661,1.5913
2.6500000000000004,12.1463,65.9417,1.1874,1.6403
2.7,13.0636,71.2565,1.2101,1.6906
2.75,14.0001,77.2309,1.2342,1.7424
2.8000000000000003,14.9638,84.067,1.2599,1.7959
2.85,15.9674,91.8641,1.2869,1.8511
2.9000000000000004,17.0165,100.3948,1.3146,1.9077
2.95,18.1102,109.1984,1.3429,1.9648
3.0,19.2798,138.2264,1.3721,2.0224
3.0500000000000003,20.5524,264.0508,1.4023,2.0806
3.1,21.9473,588.4592,1.4336,2.1395
3.1500000000000004,23.4645,1083.8072,1.4661,2.1992
3.2,25.0868,1423.0924,1.4999,2.2598
3.25,26.7891,1589.1736,1.5351,2.3213
3.3000000000000003,28.5451,1677.143,1.5717,2.384
3.35,30.3305,1766.7052,1.6097,2.448
3.4000000000000004,32.1244,1847.3322,1.6493,2.5134
3.45,33.9123,1937.0596,1.6903,2.5803
3.5,35.6885,2023.2937,1.7329,2.649
3.5500000000000003,37.4576,2126.0703,1.7763,2.7195
3.6,39.1975,2214.7202,1.8203,2.7914
3.6500000000000004,40.9255,2320.9148,1.865,2.8638
3.7,42.6881,2411.7303,1.9105,2.9366
3.75,44.5217,2524.6571,1.957,3.0101
3.8000000000000003,46.4252,2622.7418,2.0045,3.0841
3.85,48.3538,2747.6503,2.0533,3.1589
3.9000000000000004,50.0798,2852.8598,2.1034,3.2346
