step,t,phi_cardiac,c_cardiac,c_renal,psi,regime
0,0.0,2.0,0.5002,0.4996,0.8006,balanced
1,0.05,2.0,0.5005,0.4993,1.2008,overload
2,0.1,2.0,0.5007,0.4989,1.6024,overload
3,0.15,2.0,0.501,0.4985,2.007,overload
4,0.2,2.0,0.5012,0.4981,2.4163,overload
5,0.25,2.0,0.5015,0.4978,2.8319,overload
6,0.3,2.0,0.5017,0.4974,3.2555,overload
7,0.35,2.0,0.502,0.497,3.6888,overload
8,0.4,2.0,0.5022,0.4966,4.1338,overload
9,0.45,2.0,0.5025,0.4963,4.5923,overload
10,0.5,2.0,0.5027,0.4959,5.0665,overload
11,0.55,2.0,0.503,0.4955,5.5584,overload
12,0.6,2.0,0.5032,0.4951,6.0705,overload
13,0.65,2.0,0.5035,0.4948,6.6052,overload
14,0.7,2.0,0.5037,0.4944,7.1653,overload
15,0.75,2.0,0.504,0.494,7.7536,overload
16,0.8,2.0,0.5042,0.4937,8.3735,overload
17,0.85,2.0,0.5045,0.4933,9.0285,overload
18,0.9,2.0,0.5047,0.4929,9.7224,overload
19,0.95,2.0,0.505,0.4926,10.4595,overload
20,1.0,2.0,0.5052,0.4922,11.2446,overload
21,1.05,2.0,0.5055,0.4918,12.083,overload
22,1.1,2.0,0.5057,0.4914,12.9805,overload
23,1.15,2.0,0.506,0.4911,13.9436,overload
24,1.2,2.0,0.5062,0.4907,14.9799,overload
25,1.25,2.0,0.5065,0.4903,16.0975,overload
26,1.3,2.0,0.5067,0.49,17.3058,overload
27,1.35,2.0,0.507,0.4896,18.6153,overload
28,1.4,2.0,0.5072,0.4892,20.0383,overload
29,1.45,2.0,0.5074,0.4889,21.5882,overload
30,1.5,2.0,0.5077,0.4885,23.2808,overload
31,1.55,2.0,0.5079,0.4881,25.1339,overload
32,1.6,2.0,0.5082,0.4878,27.1683,overload
33,1.65,2.0,0.5084,0.4874,29.4077,overload
34,1.7,2.0,0.5087,0.487,31.8796,overload
35,1.75,2.0,0.5089,0.4867,34.6161,overload
36,1.8,2.0,0.5092,0.4863,37.6545,overload
37,1.85,2.0,0.5094,0.4859,41.0388,overload
38,1.9,2.0,0.5097,0.4856,44.8205,overload
39,1.95,2.0,0.5099,0.4852,49.0606,overload
40,2.0,2.0,0.5101,0.4849,53.8315,overload
41,2.05,2.0,0.5104,0.4845,59.2196,overload
42,2.1,2.0,0.5106,0.4841,65.3288,overload
43,2.15,2.0,0.5109,0.4838,72.2842,overload
44,2.2,2.0,0.5111,0.4834,80.2379,overload
45,2.25,2.0,0.5114,0.483,89.3755,overload
46,2.3,2.0,0.5116,0.4827,99.9253,overload
47,2.35,2.0,0.5119,0.4823,112.1701,overload
48,2.4,2.0,0.5121,0.482,126.4625,overload
49,2.45,2.0,0.5123,0.4816,143.2466,overload
50,2.5,2.0,0.5126,0.4812,163.0855,overload
51,2.55,2.0,0.5128,0.4809,186.7008,overload
52,2.6,2.0,0.5131,0.4805,215.0262,overload
53,2.65,2.0,0.5133,0.4801,247.3895,overload
54,2.7,2.0,0.5136,0.4798,281.8855,overload
55,2.75,2.0,0.5138,0.4794,318.519,overload
56,2.8,2.0,0.5141,0.4791,357.2947,overload
57,2.85,2.0,0.5143,0.4787,398.2174,overload
58,2.9,2.0,0.5145,0.4783,441.2918,overload
59,2.95,2.0,0.5148,0.478,486.5228,overload
60,3.0,2.0,0.515,0.4776,533.9151,overload
61,3.05,2.0,0.5153,0.4773,583.4734,overload
62,3.1,2.0,0.5155,0.4769,635.2027,overload
63,3.15,2.0,0.5158,0.4766,689.1077,overload
64,3.2,2.0,0.516,0.4762,745.1932,overload
65,3.25,2.0,0.5162,0.4758,803.464,overload
66,3.3,2.0,0.5165,0.4755,863.925,overload
67,3.35,2.0,0.5167,0.4751,926.581,overload
68,3.4,2.0,0.517,0.4748,991.4368,overload
69,3.45,2.0,0.5172,0.4744,1058.4973,overload
70,3.5,2.0,0.5174,0.4741,1127.7673,overload
71,3.55,2.0,0.5177,0.4737,1199.2518,overload
72,3.6,2.0,0.5179,0.4734,1272.9555,overload
73,3.65,2.0,0.5182,0.473,1348.8833,overload
74,3.7,2.0,0.5184,0.4726,1427.0402,overload
75,3.75,2.0,0.5186,0.4723,1507.431,overload
76,3.8,2.0,0.5189,0.4719,1590.0606,overload
77,3.85,2.0,0.5191,0.4716,1674.9339,overload
78,3.9,2.0,0.5194,0.4712,1762.0559,overload
79,3.95,2.0,0.5196,0.4709,1851.4314,overload
80,4.0,2.0,0.5199,0.4705,1943.0654,overload
81,4.05,2.0,0.5201,0.4702,2036.9629,overload
82,4.1,2.0,0.5203,0.4698,2133.1287,overload
83,4.15,2.0,0.5206,0.4695,2231.5678,overload
84,4.2,2.0,0.5208,0.4691,2332.2852,overload
85,4.25,2.0,0.521,0.4688,2435.2858,overload
86,4.3,2.0,0.5213,0.4684,2540.5747,overload
87,4.35,2.0,0.5215,0.4681,2648.1567,overload
88,4.4,2.0,0.5218,0.4677,2758.0369,overload
89,4.45,2.0,0.522,0.4674,2870.2202,overload
90,4.5,2.0,0.5222,0.467,2984.7117,overload
91,4.55,2.0,0.5225,0.4667,3101.5164,overload
92,4.6,2.0,0.5227,0.4663,3220.6393,overload
93,4.65,2.0,0.523,0.466,3342.0855,overload
94,4.7,2.0,0.5232,0.4656,3465.8598,overload
95,4.75,2.0,0.5234,0.4653,3591.9675,overload
96,4.8,2.0,0.5237,0.4649,3720.4134,overload
97,4.85,2.0,0.5239,0.4646,3851.2028,overload
98,4.9,2.0,0.5242,0.4642,3984.3406,overload
99,4.95,2.0,0.5244,0.4639,4119.832,overload
100,5.0,1.9998,0.5246,0.4635,4257.2561,overload
