step,t,phi_eff,C,psi,Ms,phase,regime
0,0.0,3.0,0.5099,1.1768,0.3499,acute,balanced
1,0.05,3.0,0.5197,2.0206,0.4998,acute,overload
2,0.1,3.0,0.5296,2.8397,0.65,acute,overload
3,0.15,3.0,0.5394,3.6423,0.8008,acute,overload
4,0.2,3.0,0.5493,4.4359,0.9525,acute,overload
5,0.25,3.0,0.5591,5.2275,1.1055,acute,overload
6,0.3,3.0,0.5689,6.0236,1.2599,acute,overload
7,0.35,3.0,0.5787,6.8304,1.4161,acute,overload
8,0.4,3.0,0.5884,7.6543,1.5744,acute,overload
9,0.45,3.0,0.5982,8.5012,1.7352,acute,overload
10,0.5,3.0,0.6079,9.3776,1.8986,acute,overload
11,0.55,3.0,0.6177,10.29,2.065,acute,overload
12,0.6,3.0,0.6274,11.245,2.2348,acute,overload
13,0.65,3.0,0.6371,12.2499,2.4083,acute,overload
14,0.7,3.0,0.6468,13.3124,2.5859,acute,overload
15,0.75,3.0,0.6565,14.441,2.7679,acute,overload
16,0.8,3.0,0.6662,15.6449,2.9548,acute,overload
17,0.85,3.0,0.6759,16.9342,3.147,acute,overload
18,0.9,3.0,0.6855,18.3203,3.345,acute,overload
19,0.95,3.0,0.6952,19.8158,3.5492,acute,overload
20,1.0,3.0,0.7048,21.435,3.7603,acute,overload
21,1.05,3.0,0.7144,23.194,3.9787,acute,overload
22,1.1,3.0,0.724,25.1112,4.2052,acute,overload
23,1.15,3.0,0.7336,27.2076,4.4404,acute,overload
24,1.2,3.0,0.7432,29.5073,4.6851,acute,overload
25,1.25,3.0,0.7528,32.0382,4.9402,acute,overload
26,1.3,3.0,0.7623,34.8324,5.2065,acute,overload
27,1.35,3.0,0.7719,37.9273,5.485,acute,overload
28,1.4,3.0,0.7814,41.3668,5.7769,acute,overload
29,1.45,3.0,0.7909,45.2023,6.0835,acute,overload
30,1.5,3.0,0.8005,49.4943,6.4061,acute,overload
31,1.55,3.0,0.81,54.3146,6.7462,acute,overload
32,1.6,3.0,0.8194,59.7488,7.1057,acute,overload
33,1.65,3.0,0.8289,65.8992,7.4865,acute,overload
34,1.7,3.0,0.8384,72.8891,7.8909,acute,overload
35,1.75,3.0,0.8478,80.8677,8.3214,acute,overload
36,1.8,3.0,0.8573,90.0168,8.7809,acute,overload
37,1.85,3.0,0.8667,100.5594,9.2728,acute,overload
38,1.9,3.0,0.8761,112.7708,9.7728,acute,overload
39,1.95,3.0,0.8855,126.6295,10.2728,acute,overload
40,2.0,3.0,0.8949,142.2837,10.7728,acute,overload
41,2.05,3.0,0.9043,160.0045,11.2728,acute,overload
42,2.1,3.0,0.9137,180.1056,11.7728,acute,overload
43,2.15,3.0,0.923,202.9505,12.2728,acute,overload
44,2.2,3.0,0.9324,228.9613,12.7728,acute,overload
45,2.25,3.0,0.9417,256.2725,13.2728,acute,overload
46,2.3,3.0,0.951,284.6283,13.7728,acute,overload
47,2.35,3.0,0.9603,313.9993,14.2728,acute,overload
48,2.4,3.0,0.9696,344.3573,14.7728,acute,overload
49,2.45,3.0,0.9789,375.6753,15.2728,acute,overload
50,2.5,3.0,0.9882,407.9272,15.7728,acute,overload
51,2.55,3.0,0.9975,441.0882,16.2728,acute,overload
52,2.6,3.0,1.0067,475.1343,16.7728,acute,overload
53,2.65,3.0,1.016,510.0424,17.2728,acute,overload
54,2.7,3.0,1.0252,545.7905,17.7728,acute,overload
55,2.75,3.0,1.0344,582.3572,18.2728,acute,overload
56,2.8,3.0,1.0436,619.722,18.7728,acute,overload
57,2.85,3.0,1.0528,657.8652,19.2728,acute,overload
58,2.9,3.0,1.062,696.7679,19.7728,acute,overload
59,2.95,3.0,1.0712,736.4117,20.2728,acute,overload
60,3.0,3.0,1.0803,776.779,20.7728,acute,overload
61,3.05,3.0,1.0895,817.8528,21.2728,acute,overload
62,3.1,3.0,1.0986,859.6168,21.7728,acute,overload
63,3.15,3.0,1.1077,902.0552,22.2728,acute,overload
64,3.2,3.0,1.1169,945.1526,22.7728,acute,overload
65,3.25,3.0,1.126,988.8944,23.2728,acute,overload
66,3.3,3.0,1.1351,1033.2664,23.7728,acute,overload
67,3.35,3.0,1.1441,1078.2549,24.2728,acute,overload
68,3.4,3.0,1.1532,1123.8467,24.7728,acute,overload
69,3.45,3.0,1.1623,1170.0289,25.2728,acute,overload
70,3.5,3.0,1.1713,1216.7891,25.7728,acute,overload
71,3.55,3.0,1.1804,1264.1154,26.2728,acute,overload
72,3.6,3.0,1.1894,1311.9963,26.7728,acute,overload
73,3.65,3.0,1.1984,1360.4205,27.2728,acute,overload
74,3.7,3.0,1.2074,1409.3772,27.7728,acute,overload
75,3.75,3.0,1.2164,1458.8559,28.2728,acute,overload
76,3.8,3.0,1.2254,1508.8466,28.7728,acute,overload
77,3.85,3.0,1.2343,1559.3393,29.2728,acute,overload
78,3.9,3.0,1.2433,1610.3245,29.7728,acute,overload
79,3.95,3.0,1.2522,1661.7931,30.2728,acute,overload
80,4.0,3.0,1.2612,1713.7361,30.7728,acute,overload
81,4.05,3.0,1.2701,1766.1448,31.2728,acute,overload
82,4.1,3.0,1.279,1819.0108,31.7728,acute,overload
83,4.15,3.0,1.2879,1872.3261,32.2728,acute,overload
84,4.2,3.0,1.2968,1926.0827,32.7728,acute,overload
85,4.25,3.0,1.3057,1980.2729,33.2728,acute,overload
86,4.3,3.0,1.3145,2034.8893,33.7728,acute,overload
87,4.35,3.0,1.3234,2089.9247,34.2728,acute,overload
88,4.4,3.0,1.3322,2145.3721,34.7728,acute,overload
89,4.45,3.0,1.3411,2201.2247,35.2728,acute,overload
90,4.5,3.0,1.3499,2257.4758,35.7728,acute,overload
91,4.55,3.0,1.3587,2314.1192,36.2728,acute,overload
92,4.6,3.0,1.3675,2371.1484,36.7728,acute,overload
93,4.65,3.0,1.3763,2428.5575,37.2728,acute,overload
94,4.7,3.0,1.3851,2486.3406,37.7728,acute,overload
95,4.75,3.0,1.3939,2544.492,38.2728,acute,overload
96,4.8,3.0,1.4026,2603.0061,38.7728,acute,overload
97,4.85,3.0,1.4114,2661.8774,39.2728,acute,overload
98,4.9,3.0,1.4201,2721.1007,39.7728,acute,overload
99,4.95,3.0,1.4288,2780.6709,40.2728,acute,overload
100,5.0,3.0,1.4375,2840.583,40.7728,acute,overload
101,5.05,3.0,1.4462,2900.8322,41.2728,acute,overload
102,5.1,3.0,1.4549,2961.4137,41.7728,acute,overload
103,5.15,3.0,1.4636,3022.3229,42.2728,acute,overload
104,5.2,3.0,1.4723,3083.5553,42.7728,acute,overload
105,5.25,3.0,1.4809,3145.1067,43.2728,acute,overload
106,5.3,3.0,1.4896,3206.9726,43.7728,acute,overload
107,5.35,3.0,1.4982,3269.1491,44.2728,acute,overload
108,5.4,3.0,1.5069,3331.6321,44.7728,acute,overload
109,5.45,3.0,1.5155,3394.4176,45.2728,acute,overload
110,5.5,3.0,1.5241,3457.5018,45.7728,acute,overload
111,5.55,3.0,1.5327,3520.881,46.2728,acute,overload
112,5.6,3.0,1.5413,3584.5515,46.7728,acute,overload
113,5.65,3.0,1.5498,3648.5098,47.2728,acute,overload
114,5.7,3.0,1.5584,3712.7525,47.7728,acute,overload
115,5.75,3.0,1.5669,3777.2761,48.2728,acute,overload
116,5.8,3.0,1.5755,3842.0774,48.7728,acute,overload
