step,t,phi_infect,c_immune,c_endo,c_renal,c_cardiac,c_total,psi,Ms,regime
0,0.0,1.0,0.5032,0.501,0.5006,0.5004,2.0053,0.0997,0.2499,constrained
1,0.05,1.0,0.5065,0.502,0.5013,0.5008,2.0105,0.124,0.2997,constrained
2,0.1,1.0,0.5097,0.5031,0.5019,0.5011,2.0158,0.148,0.3493,constrained
3,0.15,1.0,0.513,0.5041,0.5025,0.5015,2.0211,0.1717,0.3988,constrained
4,0.2,1.0,0.5162,0.5051,0.5032,0.5019,2.0264,0.1951,0.4482,constrained
5,0.25,1.0,0.5194,0.5062,0.5038,0.5023,2.0317,0.2182,0.4974,constrained
6,0.3,1.0,0.5226,0.5073,0.5044,0.5027,2.037,0.2411,0.5465,constrained
7,0.35,1.0,0.5259,0.5083,0.5051,0.503,2.0423,0.2638,0.5955,constrained
8,0.4,1.0,0.5291,0.5094,0.5057,0.5034,2.0476,0.2861,0.6444,constrained
9,0.45,1.0,0.5323,0.5105,0.5063,0.5038,2.0529,0.3083,0.6932,constrained
10,0.5,1.0,0.5355,0.5116,0.507,0.5042,2.0583,0.3302,0.7419,constrained
11,0.55,1.0,0.5387,0.5127,0.5076,0.5046,2.0636,0.3519,0.7904,constrained
12,0.6,1.0,0.5419,0.5138,0.5083,0.505,2.0689,0.3733,0.8389,constrained
13,0.65,1.0,0.5451,0.5149,0.5089,0.5054,2.0743,0.3946,0.8873,constrained
14,0.7,1.0,0.5482,0.5161,0.5096,0.5058,2.0797,0.4156,0.9355,constrained
15,0.75,1.0,0.5514,0.5172,0.5102,0.5062,2.085,0.4365,0.9837,constrained
16,0.8,1.0,0.5546,0.5183,0.5109,0.5066,2.0904,0.4572,1.0318,constrained
17,0.85,1.0,0.5578,0.5195,0.5115,0.507,2.0958,0.4777,1.0798,constrained
18,0.9,1.0,0.5609,0.5207,0.5122,0.5074,2.1012,0.498,1.1277,constrained
19,0.95,1.0,0.5641,0.5218,0.5129,0.5078,2.1065,0.5181,1.1755,constrained
20,1.0,1.0,0.5672,0.523,0.5135,0.5082,2.1119,0.5381,1.2233,constrained
21,1.05,1.0,0.5704,0.5242,0.5142,0.5086,2.1173,0.5579,1.2709,constrained
22,1.1,1.0,0.5735,0.5254,0.5148,0.509,2.1228,0.5775,1.3185,constrained
23,1.15,1.0,0.5767,0.5266,0.5155,0.5094,2.1282,0.597,1.3661,constrained
24,1.2,1.0,0.5798,0.5278,0.5162,0.5098,2.1336,0.6164,1.4135,constrained
25,1.25,1.0,0.5829,0.529,0.5169,0.5102,2.139,0.6356,1.4609,constrained
26,1.3,1.0,0.5861,0.5303,0.5175,0.5106,2.1445,0.6547,1.5082,constrained
27,1.35,1.0,0.5892,0.5315,0.5182,0.5111,2.1499,0.6736,1.5555,constrained
28,1.4,1.0,0.5923,0.5327,0.5189,0.5115,2.1554,0.6925,1.6027,constrained
29,1.45,1.0,0.5954,0.534,0.5196,0.5119,2.1608,0.7112,1.6498,constrained
30,1.5,1.0,0.5985,0.5353,0.5202,0.5123,2.1663,0.7298,1.6969,constrained
31,1.55,1.0,0.6016,0.5365,0.5209,0.5127,2.1718,0.7483,1.7439,constrained
32,1.6,1.0,0.6047,0.5378,0.5216,0.5131,2.1773,0.7666,1.7909,constrained
33,1.65,1.0,0.6078,0.5391,0.5223,0.5136,2.1828,0.7849,1.8379,constrained
34,1.7,1.0,0.6109,0.5404,0.523,0.514,2.1883,0.8031,1.8847,balanced
35,1.75,1.0,0.614,0.5417,0.5237,0.5144,2.1938,0.8212,1.9316,balanced
36,1.8,1.0,0.6171,0.543,0.5244,0.5149,2.1993,0.8392,1.9784,balanced
37,1.85,1.0,0.6201,0.5443,0.5251,0.5153,2.2048,0.8571,2.0252,balanced
38,1.9,1.0,0.6232,0.5456,0.5258,0.5157,2.2103,0.875,2.0719,balanced
39,1.95,1.0,0.6263,0.547,0.5265,0.5161,2.2158,0.8928,2.1186,balanced
40,2.0,1.0,0.6293,0.5483,0.5272,0.5166,2.2214,0.9105,2.1653,balanced
41,2.05,1.0,0.6324,0.5497,0.5279,0.517,2.2269,0.9281,2.2119,balanced
42,2.1,1.0,0.6354,0.551,0.5286,0.5175,2.2325,0.9457,2.2585,balanced
43,2.15,1.0,0.6385,0.5524,0.5293,0.5179,2.238,0.9632,2.3051,balanced
44,2.2,1.0,0.6415,0.5538,0.53,0.5183,2.2436,0.9806,2.3517,balanced
45,2.25,1.0,0.6446,0.5551,0.5307,0.5188,2.2492,0.998,2.3983,balanced
46,2.3,1.0,0.6476,0.5565,0.5314,0.5192,2.2548,1.0154,2.4448,balanced
47,2.35,1.0,0.6506,0.5579,0.5321,0.5197,2.2604,1.0327,2.4913,balanced
48,2.4,1.0,0.6536,0.5593,0.5329,0.5201,2.2659,1.0499,2.5378,balanced
49,2.45,1.0,0.6567,0.5607,0.5336,0.5206,2.2716,1.0672,2.5843,balanced
50,2.5,4.0,0.6717,0.5622,0.5343,0.521,2.2892,4.3146,2.7741,overload
51,2.55,3.9701,0.6866,0.5637,0.535,0.5215,2.3068,4.6021,2.9641,overload
52,2.6,3.9406,0.7013,0.5652,0.5358,0.5219,2.3242,4.8897,3.1543,overload
53,2.65,3.9113,0.7159,0.5668,0.5365,0.5224,2.3416,5.1781,3.3449,overload
54,2.7,3.8824,0.7303,0.5684,0.5372,0.5229,2.3589,5.4682,3.536,overload
55,2.75,3.8537,0.7447,0.5701,0.538,0.5233,2.376,5.7606,3.7278,overload
56,2.8,3.8253,0.7588,0.5718,0.5387,0.5238,2.3931,6.0561,3.9203,overload
57,2.85,3.7972,0.7729,0.5735,0.5394,0.5243,2.4101,6.3553,4.1137,overload
58,2.9,3.7693,0.7868,0.5753,0.5402,0.5247,2.4271,6.6588,4.3081,overload
59,2.95,3.7418,0.8006,0.5772,0.5409,0.5252,2.4439,6.9674,4.5036,overload
60,3.0,3.7145,0.8143,0.579,0.5417,0.5257,2.4606,7.2817,4.7003,overload
61,3.05,3.6875,0.8278,0.5809,0.5424,0.5262,2.4773,7.6023,4.8982,overload
62,3.1,3.6608,0.8412,0.5829,0.5432,0.5266,2.4939,7.9299,5.0977,overload
63,3.15,3.6343,0.8545,0.5849,0.544,0.5271,2.5104,8.2651,5.2986,overload
