t,mean_phi,mean_C,mean_psi_s,center_phi,center_C,center_psi_s
0.0,1.0045473064588084,1.0002008205348065,1.0043456085996914,1.018147533015769,1.000203552084081,1.017940329157358
0.12,1.0328568190473608,1.0014238295808906,1.0313873942745846,1.1280954271324406,1.0015003605637132,1.1264054276380513
0.24,1.0628904515814281,1.002677903875035,1.0600463083279628,1.239974209726029,1.0029268498019506,1.2363557535227732
0.36,1.0937300836186243,1.0039633017849663,1.0893958564040729,1.353951564326127,1.0044841309023886,1.3479081836698423
0.48,1.1250604923036234,1.0052806463239277,1.1191132502601313,1.470225569196478,1.006174892577727,1.461205384975115
0.6,1.2080103643422946,1.0277274183246758,1.1640974722856758,2.0488852392676367,1.1976216843297756,1.7105585882975818
0.72,1.3091650941104283,1.058295600081443,1.2034748180236252,2.7891261672379066,1.4611085561280213,1.908758801466654
0.84,1.4133656054083978,1.0898395589747183,1.236795715220297,3.554440215953378,1.73226667520795,2.0517861149873244
0.96,1.5215088842299973,1.1223980128691247,1.2667662946557061,4.352820955191044,2.0114000665162055,2.1639909917926436
1.08,1.634637519647073,1.1560201620681265,1.2949147837025778,5.19356940039871,2.2988941224733033,2.2591186797074396
1.2,1.7539910726132726,1.1907681622628645,1.3221978218801593,6.087756182797019,2.5952355502955093,2.3457665400857284
1.32,1.8810765599699062,1.2267197994226662,1.349278838233898,7.048855745143271,2.901033317974073,2.4298902428607874
1.44,2.0177668750284905,1.263972135731669,1.3766720278924671,8.093631954309249,3.2170472065872593,2.5161007524444985
1.56,2.1664414850555365,1.3026465304069146,1.4048271670067267,9.243404192197541,3.5442271349940215,2.608429378127475
1.68,2.330192914264368,1.3428956569336532,1.434188853085296,10.52590550078343,3.8837681312126096,2.7108633492181107
1.8,2.5131386488872707,1.3849135010338935,1.4652482117271222,11.978089508427802,4.2371886723606975,2.8278145553818685
1.92,2.720907752846867,1.4289499488120236,1.4986002017984186,13.650509731580392,4.606445023823883,2.9646400721923225
