step,t,gfr_proxy,FGF23,PTH,serum_phos_proxy,psi,constraint_state
0,0.0,90.0,1.0,1.0,1.0,0.1,BUFFERED
1,0.05,89.8,1.004,1.0,1.0,0.1499,BUFFERED
2,0.1,89.7,1.007,1.0,1.0,0.1996,BUFFERED
3,0.15,89.5,1.01,1.0,1.0,0.2491,BUFFERED
4,0.2,89.4,1.013,1.0,1.0,0.2985,BUFFERED
5,0.25,89.3,1.016,1.0,1.0,0.3476,BUFFERED
6,0.3,89.2,1.018,1.0,1.0,0.3966,BUFFERED
7,0.35,89.1,1.02,1.0,1.0,0.4454,BUFFERED
8,0.4,89.0,1.021,1.0,1.0,0.4941,BUFFERED
9,0.45,89.0,1.023,1.0,1.0,0.5425,BUFFERED
10,0.5,88.9,1.024,1.0,1.0,0.5909,BUFFERED
11,0.55,88.9,1.024,1.0,1.0,0.6391,BUFFERED
12,0.6,88.9,1.025,1.0,1.0,0.6871,BUFFERED
13,0.65,88.9,1.025,1.0,1.0,0.735,BUFFERED
14,0.7,88.9,1.025,1.0,1.0,0.7827,BUFFERED
15,0.75,88.9,1.024,1.0,1.0,0.8304,BUFFERED
16,0.8,88.9,1.024,1.0,1.0,0.8779,BUFFERED
17,0.85,89.0,1.023,1.0,1.0,0.9253,BUFFERED
18,0.9,89.0,1.021,1.0,1.0,0.9726,BUFFERED
19,0.95,89.1,1.02,1.0,1.0,1.0197,BUFFERED
20,1.0,89.2,1.018,1.0,1.0,1.0669,BUFFERED
21,1.05,89.2,1.017,1.0,1.0,1.1143,P-EXCESS
22,1.1,89.3,1.016,1.001,1.0,1.1619,P-EXCESS
23,1.15,89.3,1.015,1.003,1.0,1.2098,P-EXCESS
24,1.2,89.3,1.015,1.005,1.0,1.258,P-EXCESS
25,1.25,89.3,1.015,1.008,1.0,1.3066,P-EXCESS
26,1.3,89.3,1.015,1.012,1.0,1.3557,P-EXCESS
27,1.35,89.3,1.015,1.017,1.0,1.4052,P-EXCESS
28,1.4,89.3,1.016,1.022,1.0,1.4552,P-EXCESS
29,1.45,89.2,1.017,1.028,1.0,1.5058,P-EXCESS
30,1.5,89.2,1.018,1.035,1.0,1.557,P-EXCESS
31,1.55,89.1,1.02,1.043,1.0,1.6088,P-EXCESS
32,1.6,89.0,1.022,1.051,1.0,1.6614,P-EXCESS
33,1.65,88.9,1.024,1.06,1.0,1.7147,P-EXCESS
34,1.7,88.8,1.026,1.07,1.0,1.7688,P-EXCESS
35,1.75,88.7,1.029,1.081,1.0,1.8238,P-EXCESS
36,1.8,88.5,1.032,1.093,1.0,1.8797,P-EXCESS
37,1.85,88.4,1.036,1.105,1.0,1.9366,P-EXCESS
38,1.9,88.2,1.039,1.119,1.0,1.9944,P-EXCESS
39,1.95,88.0,1.043,1.133,1.0,2.0533,P-EXCESS
40,2.0,87.8,1.048,1.148,1.0,2.1133,P-EXCESS
41,2.05,87.6,1.053,1.164,1.0,2.1745,P-EXCESS
42,2.1,87.4,1.058,1.181,1.0,2.2369,P-EXCESS
43,2.15,87.2,1.063,1.199,1.0,2.3006,P-EXCESS
44,2.2,86.9,1.069,1.218,1.0,2.3656,P-EXCESS
45,2.25,86.6,1.075,1.238,1.0,2.4319,P-EXCESS
46,2.3,86.4,1.081,1.259,1.0,2.4997,P-EXCESS
47,2.35,86.1,1.087,1.281,1.0,2.569,P-EXCESS
48,2.4,85.8,1.094,1.305,1.0,2.6397,P-EXCESS
49,2.45,85.4,1.102,1.329,1.0,2.7121,P-EXCESS
50,2.5,85.1,1.109,1.354,1.0,2.7861,P-EXCESS
51,2.55,84.7,1.117,1.38,1.0,2.8618,P-EXCESS
52,2.6,84.4,1.125,1.408,1.0,2.9392,P-EXCESS
53,2.65,84.0,1.134,1.437,1.0,3.0185,P-EXCESS
54,2.7,83.6,1.143,1.467,1.0,3.0995,P-EXCESS
55,2.75,83.2,1.152,1.498,1.0,3.1825,P-EXCESS
56,2.8,82.7,1.162,1.531,1.0,3.2674,P-EXCESS
57,2.85,82.3,1.171,1.564,1.0,3.3542,P-EXCESS
58,2.9,81.8,1.182,1.6,1.0,3.4431,P-EXCESS
59,2.95,81.4,1.192,1.636,1.0,3.5341,P-EXCESS
60,3.0,80.9,1.203,1.674,1.0,3.6273,P-EXCESS
61,3.05,80.4,1.214,1.713,1.0,3.7225,P-EXCESS
62,3.1,79.9,1.225,1.754,1.0,3.82,P-EXCESS
63,3.15,79.3,1.237,1.796,1.0,3.9198,P-EXCESS
64,3.2,78.8,1.249,1.84,1.0,4.0218,P-EXCESS
65,3.25,78.2,1.261,1.886,1.0,4.1262,P-EXCESS
66,3.3,77.7,1.274,1.933,1.0,4.2329,P-EXCESS
67,3.35,77.1,1.287,1.981,1.0,4.3421,P-EXCESS
68,3.4,76.5,1.3,2.032,1.0,4.4537,P-EXCESS
69,3.45,75.9,1.313,2.084,1.0,4.5677,P-EXCESS
70,3.5,75.3,1.327,2.137,1.0,4.6843,P-EXCESS
71,3.55,74.7,1.341,2.193,1.0,4.8034,P-EXCESS
72,3.6,74.0,1.355,2.25,1.0,4.925,P-EXCESS
73,3.65,73.4,1.369,2.309,1.0,5.0492,P-EXCESS
74,3.7,72.7,1.384,2.371,1.0,5.176,P-EXCESS
75,3.75,72.1,1.399,2.434,1.0,5.3055,P-EXCESS
76,3.8,71.4,1.414,2.499,1.0,5.4375,P-EXCESS
77,3.85,70.7,1.429,2.566,1.0,5.5723,P-EXCESS
78,3.9,70.0,1.444,2.635,1.0,5.7097,P-EXCESS
79,3.95,69.3,1.46,2.706,1.0,5.8498,P-EXCESS
80,4.0,68.6,1.476,2.78,1.0,5.9926,P-EXCESS
81,4.05,67.9,1.492,2.855,1.0,6.1381,P-EXCESS
82,4.1,67.2,1.508,2.933,1.0,6.2863,P-EXCESS
83,4.15,66.4,1.524,3.013,1.0,6.4373,P-EXCESS
84,4.2,65.7,1.54,3.095,1.0,6.5909,P-EXCESS
85,4.25,65.0,1.556,3.18,1.0,6.7474,P-EXCESS
86,4.3,64.2,1.573,3.267,1.0,6.9066,P-EXCESS
87,4.35,63.5,1.589,3.357,1.0,7.0685,P-EXCESS
88,4.4,62.7,1.606,3.449,1.0,7.2332,P-EXCESS
89,4.45,62.0,1.623,3.543,1.0,7.4006,P-EXCESS
90,4.5,61.2,1.64,3.64,1.0,7.5708,P-EXCESS
91,4.55,60.5,1.656,3.74,1.0,7.7438,P-EXCESS
92,4.6,59.7,1.673,3.842,1.0,7.9195,P-EXCESS
93,4.65,58.9,1.69,3.947,1.0,8.098,P-EXCESS
94,4.7,58.2,1.707,4.055,1.0,8.2793,P-EXCESS
95,4.75,57.4,1.724,4.165,1.0,8.4634,P-EXCESS
96,4.8,56.7,1.741,4.279,1.0,8.6502,P-EXCESS
97,4.85,55.9,1.758,4.395,1.0,8.8398,P-EXCESS
98,4.9,55.2,1.774,4.514,1.0,9.0322,P-EXCESS
99,4.95,54.4,1.791,4.636,1.0,9.2273,P-EXCESS
100,5.0,53.7,1.808,4.76,1.0,9.4253,P-EXCESS
101,5.05,52.9,1.824,4.888,1.0,9.6261,P-EXCESS
102,5.1,52.2,1.841,5.019,1.0,9.8297,P-EXCESS
103,5.15,51.4,1.857,5.153,1.0,10.0361,P-EXCESS
104,5.2,50.7,1.874,5.291,1.0,10.2453,P-EXCESS
105,5.25,49.9,1.89,5.431,1.0,10.4574,P-EXCESS
106,5.3,49.2,1.906,5.574,1.0,10.6723,P-EXCESS
107,5.35,48.5,1.923,5.721,1.0,10.8901,P-EXCESS
108,5.4,47.8,1.939,5.871,1.0,11.1108,P-EXCESS
109,5.45,47.1,1.954,6.025,1.0,11.3344,P-EXCESS
110,5.5,46.3,1.97,6.182,1.0,11.5609,P-EXCESS
111,5.55,45.6,1.986,6.342,1.0,11.7903,P-EXCESS
112,5.6,44.9,2.001,6.506,1.0,12.0228,P-EXCESS
113,5.65,44.3,2.017,6.673,1.007,12.2582,P-EXCESS
114,5.7,43.6,2.032,6.844,1.013,12.4967,P-EXCESS
115,5.75,42.9,2.047,7.019,1.019,12.7382,P-EXCESS
116,5.8,42.2,2.062,7.197,1.025,12.9828,P-EXCESS
117,5.85,41.6,2.076,7.379,1.031,13.2305,P-EXCESS
118,5.9,40.9,2.091,7.565,1.036,13.4814,P-EXCESS
119,5.95,40.3,2.105,7.754,1.042,13.7355,P-EXCESS
120,6.0,39.6,2.12,7.948,1.048,13.9928,P-EXCESS
121,6.05,39.0,2.134,8.145,1.053,14.2534,P-EXCESS
122,6.1,38.4,2.147,8.346,1.059,14.5172,P-EXCESS
123,6.15,37.7,2.161,8.552,1.064,14.7845,P-EXCESS
124,6.2,37.1,2.175,8.761,1.07,15.0551,P-EXCESS
125,6.25,36.5,2.188,8.974,1.075,15.3293,P-EXCESS
126,6.3,35.9,2.201,9.192,1.081,15.6069,P-EXCESS
127,6.35,35.4,2.214,9.414,1.086,15.888,P-EXCESS
128,6.4,34.8,2.227,9.64,1.091,16.1728,P-EXCESS
129,6.45,34.2,2.24,9.87,1.096,16.4613,P-EXCESS
130,6.5,33.6,2.252,10.105,1.101,16.7534,P-EXCESS
131,6.55,33.1,2.265,10.344,1.106,17.0494,P-EXCESS
132,6.6,32.5,2.277,10.588,1.111,17.3492,P-EXCESS
133,6.65,32.0,2.289,10.836,1.115,17.6529,P-EXCESS
134,6.7,31.5,2.3,11.089,1.12,17.9605,P-EXCESS
135,6.75,31.0,2.312,11.347,1.125,18.2722,P-EXCESS
136,6.8,30.4,2.323,11.609,1.129,18.588,P-EXCESS
137,6.85,29.9,2.335,11.876,1.134,18.908,P-EXCESS
138,6.9,29.4,2.346,12.148,1.138,19.2322,P-EXCESS
139,6.95,29.0,2.357,12.425,1.143,19.5607,P-EXCESS
140,7.0,28.5,2.367,12.707,1.147,19.8936,P-EXCESS
141,7.05,28.0,2.378,12.994,1.151,20.231,P-EXCESS
142,7.1,27.5,2.388,13.286,1.155,20.5729,P-EXCESS
143,7.15,27.1,2.399,13.584,1.159,20.9195,P-EXCESS
144,7.2,26.6,2.409,13.886,1.163,21.2707,P-EXCESS
145,7.25,26.2,2.419,14.194,1.167,21.6267,P-EXCESS
146,7.3,25.7,2.428,14.507,1.171,21.9876,P-EXCESS
147,7.35,25.3,2.438,14.826,1.175,22.3534,P-EXCESS
148,7.4,24.9,2.447,15.15,1.179,22.7243,P-EXCESS
149,7.45,24.5,2.457,15.48,1.183,23.1003,P-EXCESS
150,7.5,24.0,2.466,15.816,1.186,23.4815,P-EXCESS
151,7.55,23.6,2.475,16.158,1.19,23.868,P-EXCESS
152,7.6,23.2,2.483,16.505,1.193,24.2599,P-EXCESS
153,7.65,22.9,2.492,16.858,1.197,24.6572,P-EXCESS
154,7.7,22.5,2.501,17.218,1.2,25.0602,P-EXCESS
155,7.75,22.1,2.509,17.583,1.204,25.4688,P-EXCESS
156,7.8,21.7,2.517,17.955,1.207,25.8832,P-EXCESS
157,7.85,21.4,2.525,18.333,1.21,26.3035,P-EXCESS
158,7.9,21.0,2.533,18.718,1.213,26.7298,P-EXCESS
159,7.95,20.7,2.541,19.109,1.216,27.1621,P-EXCESS
160,8.0,20.3,2.549,19.506,1.22,27.6006,P-EXCESS
161,8.05,20.0,2.556,19.91,1.223,28.0454,P-EXCESS
162,8.1,19.6,2.564,20.321,1.226,28.4966,P-EXCESS
163,8.15,19.3,2.571,20.739,1.228,28.9544,P-EXCESS
164,8.2,19.0,2.578,21.164,1.231,29.4187,P-EXCESS
165,8.25,18.7,2.585,21.596,1.234,29.8897,P-EXCESS
166,8.3,18.3,2.592,22.035,1.237,30.3676,P-EXCESS
167,8.35,18.0,2.599,22.481,1.24,30.8525,P-EXCESS
168,8.4,17.7,2.606,22.935,1.242,31.3444,P-EXCESS
169,8.45,17.4,2.612,23.396,1.245,31.8435,P-EXCESS
170,8.5,17.2,2.619,23.865,1.248,32.35,P-EXCESS
171,8.55,16.9,2.625,24.341,1.25,32.8638,P-EXCESS
172,8.6,16.6,2.631,24.825,1.253,33.3852,P-EXCESS
173,8.65,16.3,2.638,25.318,1.255,33.9144,P-EXCESS
174,8.7,16.0,2.644,25.818,1.257,34.4513,P-EXCESS
175,8.75,15.8,2.649,26.326,1.26,34.9962,P-EXCESS
176,8.8,15.5,2.655,26.843,1.262,35.5491,P-EXCESS
177,8.85,15.3,2.661,27.368,1.264,36.1102,P-EXCESS
178,8.9,15.0,2.667,27.902,1.267,36.6797,P-EXCESS
179,8.95,14.8,2.672,28.444,1.269,37.2577,P-EXCESS
180,9.0,14.5,2.678,28.995,1.271,37.8443,P-EXCESS
181,9.05,14.3,2.683,29.555,1.273,38.4396,P-EXCESS
182,9.1,14.0,2.688,30.125,1.275,39.0439,P-EXCESS
183,9.15,13.8,2.693,30.703,1.277,39.6572,P-EXCESS
184,9.2,13.6,2.698,31.291,1.279,40.2797,P-EXCESS
185,9.25,13.3,2.703,31.888,1.281,40.9115,P-EXCESS
186,9.3,13.1,2.708,32.495,1.283,41.5528,P-EXCESS
187,9.35,12.9,2.713,33.111,1.285,42.2038,P-EXCESS
188,9.4,12.7,2.718,33.738,1.287,42.8646,P-EXCESS
189,9.45,12.5,2.722,34.374,1.289,43.5353,P-EXCESS
190,9.5,12.3,2.727,35.021,1.291,44.2162,P-EXCESS
191,9.55,12.1,2.732,35.678,1.293,44.9073,P-EXCESS
192,9.6,11.9,2.736,36.346,1.294,45.6089,P-EXCESS
193,9.65,11.7,2.74,37.024,1.296,46.3212,P-EXCESS
194,9.7,11.5,2.745,37.713,1.298,47.0442,P-EXCESS
195,9.75,11.3,2.749,38.413,1.299,47.7781,P-EXCESS
196,9.8,11.1,2.753,39.125,1.301,48.5233,P-EXCESS
197,9.85,10.9,2.757,39.847,1.303,49.2797,P-EXCESS
198,9.9,10.8,2.761,40.582,1.304,50.0476,P-EXCESS
199,9.95,10.6,2.765,41.327,1.306,50.8272,P-EXCESS
200,10.0,10.4,2.769,42.085,1.307,51.6187,P-EXCESS
201,10.05,10.2,2.772,42.855,1.309,52.4222,P-EXCESS
202,10.1,10.1,2.776,43.637,1.31,53.238,P-EXCESS
203,10.15,9.9,2.78,44.432,1.312,54.0662,P-EXCESS
204,10.2,9.7,2.783,45.239,1.313,54.907,P-EXCESS
205,10.25,9.6,2.787,46.059,1.315,55.7607,P-EXCESS
206,10.3,9.4,2.79,46.892,1.316,56.6274,P-EXCESS
207,10.35,9.3,2.794,47.738,1.317,57.5073,P-EXCESS
