step,phase,C_renal,psi
0,inter-session,2.0,0.05
1,inter-session,2.1478,0.0697
2,inter-session,2.2912,0.0868
3,inter-session,2.4303,0.1019
4,inter-session,2.5654,0.1155
5,inter-session,2.6965,0.1277
6,inter-session,2.8236,0.1389
7,inter-session,2.9471,0.1492
8,inter-session,3.0669,0.1588
9,inter-session,3.1831,0.1677
10,inter-session,3.2959,0.1761
11,inter-session,3.4054,0.184
12,inter-session,3.5116,0.1915
13,inter-session,3.6147,0.1987
14,inter-session,3.7148,0.2056
15,inter-session,3.8119,0.2122
16,inter-session,3.9061,0.2185
17,inter-session,3.9975,0.2247
18,inter-session,4.0863,0.2306
19,inter-session,4.1724,0.2364
20,inter-session,4.2559,0.242
21,inter-session,4.337,0.2475
22,inter-session,4.4157,0.2529
23,inter-session,4.4921,0.2582
24,inter-session,4.5662,0.2633
25,inter-session,4.6382,0.2684
26,inter-session,4.708,0.2734
27,inter-session,4.7757,0.2783
28,inter-session,4.8414,0.2831
29,inter-session,4.9052,0.2879
30,inter-session,4.9672,0.2927
31,inter-session,5.0272,0.2973
32,inter-session,5.0855,0.3019
33,inter-session,5.1421,0.3065
34,inter-session,5.197,0.3111
35,inter-session,5.2503,0.3156
36,inter-session,5.302,0.32
37,inter-session,5.3522,0.3244
38,inter-session,5.4009,0.3288
39,inter-session,5.4482,0.3332
40,inter-session,5.494,0.3376
41,inter-session,5.5385,0.3419
42,inter-session,5.5817,0.3462
43,inter-session,5.6236,0.3505
44,inter-session,5.6643,0.3547
45,inter-session,5.7038,0.359
46,inter-session,5.7421,0.3632
47,inter-session,5.7793,0.3674
48,inter-session,5.8154,0.3716
49,inter-session,5.8504,0.3758
50,inter-session,5.8843,0.38
51,inter-session,5.9173,0.3842
52,inter-session,5.9493,0.3883
53,inter-session,5.9804,0.3925
54,inter-session,6.0105,0.3966
55,inter-session,6.0398,0.4007
56,inter-session,6.0681,0.4049
57,inter-session,6.0957,0.409
58,inter-session,6.1224,0.4131
59,inter-session,6.1483,0.4172
60,inter-session,6.1735,0.4213
61,inter-session,6.1979,0.4254
62,inter-session,6.2216,0.4295
63,inter-session,6.2446,0.4336
64,inter-session,6.267,0.4376
65,inter-session,6.2886,0.4417
66,inter-session,6.3097,0.4458
67,inter-session,6.3301,0.4499
68,inter-session,6.3499,0.4539
69,inter-session,6.3691,0.458
70,inter-session,6.3877,0.4621
71,inter-session,6.4058,0.4661
72,inter-session,6.4234,0.4702
73,inter-session,6.4404,0.4742
74,inter-session,6.457,0.4783
75,inter-session,6.473,0.4824
76,inter-session,6.4886,0.4864
