t,responsive_S,responsive_psi_s,failing_S,failing_psi_s,psi_gap
0.0,1.0015,1.0134146615832662,0.9975000000000003,1.0093670743178313,-0.00404758726543486
0.12,1.0105000000000004,1.0945769588952714,0.9825,1.0642472658234579,-0.030329693071813546
0.24,1.0195000000000007,1.1769393196995706,0.967500000000001,1.1169090650410336,-0.06003025465853695
0.36,1.028500000000001,1.260564589548342,0.9525000000000007,1.1674164040299428,-0.0931481855183991
0.48,1.0375000000000014,1.34551810636543,0.9375000000000017,1.2158296141856297,-0.12968849217980027
0.6,1.0465000000000018,1.4318679426886438,0.9225000000000014,1.2622056159868842,-0.16966232670175962
0.72,1.055500000000002,1.6018984671670042,0.9075000000000023,1.3065980921523153,-0.295300375014689
0.84,1.0645000000000024,1.8662570909759801,0.892500000000002,1.3490576453444518,-0.5171994456315283
0.96,1.0735000000000028,2.065658967048271,0.8775000000000028,1.389631941419225,-0.6760270256290457
1.08,1.0825000000000031,2.2297402785346487,0.8625000000000026,1.4283658390886682,-0.8013744394459805
1.2,1.0915000000000035,2.3746659184515138,0.8475000000000036,1.465301506743632,-0.9093644117078818
1.32,1.1005000000000038,2.510334777803662,0.8325000000000032,1.5224192523815652,-0.987915525422097
1.44,1.1095000000000041,2.643513973714661,0.8175000000000042,1.6472426658224248,-0.9962713078922361
1.56,1.1185000000000045,2.7793887514895244,0.802500000000004,1.7272529382039215,-1.052135813285603
1.68,1.1275000000000048,2.922433174290625,0.7875000000000046,1.783005965935108,-1.1394272083555168
1.8,1.1365000000000052,3.0769811295219256,0.7725000000000047,1.8253456712285578,-1.2516354582933678
1.92,1.1455000000000055,3.2476830731005113,0.7575000000000054,1.8606458730668607,-1.3870372000336506
2.04,1.1545000000000059,3.439962033048748,0.7425000000000054,1.8930386796640066,-1.5469233533847415
2.16,1.1635000000000062,3.6605663619269047,0.7275000000000059,1.9254883251669002,-1.7350780367600045
2.2800000000000002,1.1725000000000065,3.918339027748991,0.712500000000006,1.9603718988581849,-1.9579671288908063
2.4,1.1815000000000069,4.22539164239553,0.6975000000000066,1.999837647606667,-2.2255539947888625
2.52,1.1905000000000072,4.599022257633435,0.6825000000000065,2.046067956403352,-2.5529543012300833
2.64,1.1995000000000076,5.0650440622745645,0.6675000000000072,2.101519151635231,-2.9635249106393333
2.7600000000000002,1.1999999999999997,5.624107170289904,0.6525000000000073,2.169193616997986,-3.4549135532919184
2.88,1.1999999999999997,5.467568974666358,0.6375000000000078,2.2530065446410537,-3.2145624300253046
3.0,1.1999999999999997,5.232019290189933,0.6225000000000079,2.3571903997667896,-2.874828890423143
3.12,1.1999999999999997,5.015684349321305,0.6075000000000085,2.484683454547992,-2.5310008947733125
3.24,1.1999999999999997,4.8163052909076125,0.5925000000000086,2.6524047023617747,-2.1639005885458378
3.36,1.1999999999999997,4.631963967673492,0.5775000000000091,2.7735245241217603,-1.858439443551732
3.48,1.1999999999999997,4.4610210413660445,0.5625000000000092,2.579250383897794,-1.8817706574682505
3.6,1.1999999999999997,4.302067101746803,0.5475000000000098,2.4016741746540613,-1.9003929270927418
3.72,1.1999999999999997,4.15388372103189,0.5325000000000099,2.2387410115636333,-1.9151427094682565
3.84,1.1999999999999997,4.015412164944813,0.5175000000000104,2.088719888443162,-1.926692276501651
3.96,1.1999999999999997,3.8857280599465462,0.5025000000000105,1.9501422869978848,-1.9355857729486614
4.08,1.1999999999999997,3.7640207345296584,0.48750000000001054,1.8217542398769633,-1.942266494652695
4.2,1.1999999999999997,3.6495762584645353,0.47250000000001074,1.7024785289415019,-1.9470977295230334
4.32,1.1999999999999997,3.5417634301050076,0.4575000000000105,1.5913846038295518,-1.9503788262754558
4.44,1.1999999999999997,3.4400221307593553,0.44250000000001066,1.4957190533007902,-1.944303077458565
4.5600000000000005,1.1999999999999997,3.343853592407105,0.4275000000000106,1.4432846745845205,-1.9005689178225844
4.68,1.1999999999999997,3.2528122217861015,0.4125000000000106,1.390973846503888,-1.8618383752822136
