step,t,mean_Vm,mean_C_mem,mean_psi,pacemaker_Vm
0,0.0,-69.94,1.4956,0.1337,-69.2096
1,0.04,-69.88,1.4913,0.1607,-68.4285
2,0.08,-69.82,1.4873,0.1876,-67.6562
3,0.12,-69.76,1.4833,0.2147,-66.8926
4,0.16,-69.7,1.4796,0.2418,-66.1373
5,0.2,-69.64,1.4759,0.269,-65.39
6,0.24,-69.58,1.4724,0.2964,-64.6504
7,0.28,-69.52,1.469,0.3239,-63.9182
8,0.32,-69.46,1.4658,0.3515,-63.1933
9,0.36,-69.4,1.4626,0.3793,-62.4753
10,0.4,-69.34,1.4596,0.4073,-61.764
11,0.44,-69.28,1.4567,0.4356,-61.0591
12,0.48,-69.22,1.4538,0.464,-60.3605
13,0.52,-69.16,1.4511,0.4927,-59.668
14,0.56,-69.1,1.4484,0.5217,-58.9813
15,0.6,-69.04,1.4459,0.5511,-58.3002
16,0.64,-68.98,1.4434,0.5807,-57.6245
17,0.68,-68.92,1.441,0.6107,-56.9542
18,0.72,-68.86,1.4387,0.6411,-56.2889
19,0.76,-68.8,1.4364,0.672,-55.6285
20,0.8,-68.8,1.4363,0.699,-55.7633
21,0.84,-68.8,1.4362,0.726,-55.8934
22,0.88,-68.8,1.4361,0.753,-56.0191
23,0.92,-68.8,1.4359,0.78,-56.1405
24,0.96,-68.8,1.4358,0.807,-56.2577
25,1.0,-68.8,1.4357,0.834,-56.371
26,1.04,-68.8,1.4356,0.861,-56.4805
27,1.08,-68.8,1.4355,0.8881,-56.5863
28,1.12,-68.8,1.4354,0.9151,-56.6886
29,1.16,-68.8,1.4353,0.9423,-56.7875
30,1.2,-68.8,1.4352,0.9694,-56.8831
31,1.24,-68.8,1.4351,0.9966,-56.9756
32,1.28,-68.8,1.4351,1.0239,-57.0651
33,1.32,-68.8,1.435,1.0513,-57.1517
34,1.36,-68.8,1.4349,1.0787,-57.2355
35,1.4,-68.8,1.4348,1.1062,-57.3166
36,1.44,-68.8,1.4347,1.1338,-57.3952
37,1.48,-68.8,1.4347,1.1614,-57.4712
38,1.52,-68.8,1.4346,1.1892,-57.5449
39,1.56,-68.8,1.4345,1.2171,-57.6163
40,1.6,-68.8,1.4344,1.245,-57.6854
41,1.64,-68.8,1.4344,1.2731,-57.7524
42,1.68,-68.8,1.4343,1.3014,-57.8174
43,1.72,-68.8,1.4342,1.3297,-57.8804
44,1.76,-68.8,1.4341,1.3582,-57.9414
45,1.8,-68.8,1.4341,1.3869,-58.0007
46,1.84,-68.8,1.434,1.4157,-58.0582
47,1.88,-68.8,1.434,1.4446,-58.1139
48,1.92,-68.8,1.4339,1.4738,-58.1681
49,1.96,-68.8,1.4338,1.5031,-58.2206
50,2.0,-68.8,1.4338,1.5326,-58.2716
51,2.04,-68.8,1.4337,1.5623,-58.3212
52,2.08,-68.8,1.4336,1.5921,-58.3693
53,2.12,-68.8,1.4336,1.6222,-58.4161
54,2.16,-68.8,1.4335,1.6525,-58.4615
55,2.2,-68.8,1.4335,1.6831,-58.5057
56,2.24,-68.8,1.4334,1.7138,-58.5487
57,2.28,-68.8,1.4334,1.7448,-58.5904
58,2.32,-68.8,1.4333,1.7761,-58.6311
59,2.36,-68.8,1.4333,1.8076,-58.6706
60,2.4,-68.8,1.4332,1.8393,-58.7091
61,2.44,-68.8,1.4331,1.8714,-58.7465
62,2.48,-68.8,1.4331,1.9037,-58.783
63,2.52,-68.8,1.433,1.9363,-58.8185
64,2.56,-68.8,1.433,1.9692,-58.853
65,2.6,-68.8,1.4329,2.0025,-58.8867
66,2.64,-68.8,1.4329,2.036,-58.9196
67,2.68,-68.8,1.4328,2.0699,-58.9515
68,2.72,-68.8,1.4328,2.1042,-58.9827
69,2.76,-68.8,1.4327,2.1387,-59.0131
70,2.8,-68.8,1.4327,2.1737,-59.0428
71,2.84,-68.8,1.4326,2.209,-59.0717
72,2.88,-68.8,1.4326,2.2447,-59.1
73,2.92,-68.8,1.4326,2.2808,-59.1275
74,2.96,-68.8,1.4325,2.3173,-59.1544
75,3.0,-68.8,1.4325,2.3542,-59.1807
76,3.04,-68.8,1.4324,2.3916,-59.2064
77,3.08,-68.8,1.4324,2.4294,-59.2314
78,3.12,-68.8,1.4323,2.4676,-59.2559
79,3.16,-68.8,1.4323,2.5063,-59.2799
80,3.2,-68.74,1.43,2.5632,-58.5129
81,3.24,-68.68,1.4277,2.6222,-57.7546
82,3.28,-68.62,1.4256,2.6834,-57.0047
83,3.32,-68.56,1.4235,2.747,-56.263
84,3.36,-68.5,1.4215,2.8133,-55.5291
85,3.4,-68.44,1.4195,2.8823,-54.8028
86,3.44,-68.38,1.4176,2.9544,-54.0837
87,3.48,-68.32,1.4158,3.0298,-53.3716
88,3.52,-68.26,1.414,3.1087,-52.6664
89,3.56,-68.2,1.4123,3.1915,-51.9676
90,3.6,-68.14,1.4106,3.2786,-51.2752
91,3.64,-68.08,1.409,3.3702,-50.5889
92,3.68,-68.02,1.4074,3.4669,-49.9084
93,3.72,-67.96,1.4059,3.5691,-49.2337
94,3.76,-67.9,1.4044,3.6774,-48.5644
95,3.8,-67.84,1.403,3.7923,-47.9004
96,3.84,-67.78,1.4016,3.9147,-47.2415
97,3.88,-67.72,1.4002,4.0452,-46.5876
98,3.92,-67.66,1.3988,4.1849,-45.9385
99,3.96,-67.6,1.3975,4.3346,-45.294
100,4.0,-67.6,1.3974,4.4298,-45.4444
101,4.04,-67.6,1.3972,4.5284,-45.5898
102,4.08,-67.6,1.397,4.6306,-45.7305
103,4.12,-67.6,1.3968,4.7365,-45.8667
104,4.16,-67.6,1.3966,4.8465,-45.9985
105,4.2,-67.6,1.3965,4.9607,-46.126
106,4.24,-67.6,1.3963,5.0794,-46.2495
107,4.28,-67.6,1.3961,5.203,-46.3691
108,4.32,-67.6,1.396,5.3317,-46.485
109,4.36,-67.6,1.3958,5.4659,-46.5972
110,4.4,-67.6,1.3957,5.6059,-46.706
111,4.44,-67.6,1.3955,5.7522,-46.8114
112,4.48,-67.6,1.3953,5.9052,-46.9137
113,4.52,-67.6,1.3952,6.0653,-47.0128
114,4.56,-67.6,1.395,6.2332,-47.1089
115,4.6,-67.6,1.3949,6.4093,-47.2022
116,4.64,-67.6,1.3948,6.5943,-47.2927
117,4.68,-67.6,1.3946,6.7889,-47.3806
118,4.72,-67.6,1.3945,6.9939,-47.4659
119,4.76,-67.6,1.3943,7.21,-47.5487
120,4.8,-67.6,1.3942,7.4383,-47.6292
121,4.84,-67.6,1.3941,7.6798,-47.7073
122,4.88,-67.6,1.3939,7.9355,-47.7833
123,4.92,-67.6,1.3938,8.2067,-47.8571
124,4.96,-67.6,1.3937,8.495,-47.9289
125,5.0,-67.6,1.3935,8.8017,-47.9987
126,5.04,-67.6,1.3934,9.1288,-48.0666
127,5.08,-67.6,1.3933,9.4781,-48.1327
128,5.12,-67.6,1.3932,9.8518,-48.197
129,5.16,-67.6,1.393,10.2526,-48.2596
130,5.2,-67.6,1.3929,10.6831,-48.3205
131,5.24,-67.6,1.3928,11.1465,-48.3798
132,5.28,-67.6,1.3927,11.6466,-48.4377
133,5.32,-67.6,1.3926,12.1874,-48.494
134,5.36,-67.6,1.3924,12.7736,-48.5489
135,5.4,-67.6,1.3923,13.4107,-48.6024
136,5.44,-67.6,1.3922,14.1049,-48.6546
