step,V_m,C_mem,psi,regime,phase
0,-30.8,0.2113,4.7329,overload,free
1,-31.584,0.2197,4.5509,overload,free
2,-32.352,0.2283,4.3794,overload,free
3,-33.105,0.2371,4.2176,overload,free
4,-33.843,0.246,4.0648,overload,free
5,-34.566,0.2551,3.9205,overload,free
6,-35.275,0.2643,3.784,overload,free
7,-35.969,0.2736,3.6549,overload,free
8,-36.65,0.2831,3.5326,overload,free
9,-37.317,0.2927,3.4167,overload,free
10,-37.971,0.3024,3.3069,overload,free
11,-38.611,0.3122,3.2026,overload,free
12,-39.239,0.3222,3.1037,overload,free
13,-39.854,0.3323,3.0096,overload,free
14,-40.457,0.3424,2.9203,overload,free
15,-41.048,0.3527,2.8353,overload,free
16,-41.627,0.3631,2.7543,overload,free
17,-42.195,0.3735,2.6773,overload,free
18,-42.751,0.384,2.6039,overload,free
19,-43.296,0.3947,2.5339,overload,free
20,-43.83,0.4053,2.4671,overload,free
21,-44.353,0.4161,2.4034,overload,free
22,-44.866,0.4269,2.3425,overload,free
23,-45.369,0.4378,2.2844,overload,free
24,-45.861,0.4487,2.2288,overload,free
25,-46.344,0.4596,2.1756,overload,free
26,-46.817,0.4706,2.1248,overload,free
27,-47.281,0.4817,2.0761,overload,free
28,-47.735,0.4927,2.0295,overload,free
29,-48.181,0.5038,1.9848,overload,free
30,-48.617,0.515,1.9419,overload,free
31,-49.045,0.5261,1.9009,overload,free
32,-49.464,0.5372,1.8614,overload,free
33,-49.875,0.5484,1.8236,overload,free
34,-50.277,0.5595,1.7873,overload,free
35,-50.671,0.5707,1.7524,overload,free
36,-51.058,0.5818,1.7188,overload,free
37,-51.437,0.5929,1.6866,overload,free
38,-51.808,0.604,1.6555,overload,free
39,-52.172,0.6151,1.6257,overload,free
40,-52.529,0.6262,1.597,overload,free
41,-52.878,0.6372,1.5693,overload,free
42,-53.22,0.6482,1.5427,overload,free
43,-53.556,0.6592,1.517,overload,free
44,-53.885,0.6701,1.4923,overload,free
45,-54.207,0.681,1.4684,overload,free
46,-54.523,0.6919,1.4454,overload,free
47,-54.833,0.7026,1.4232,overload,free
48,-55.136,0.7134,1.4018,overload,free
49,-55.433,0.7241,1.3811,overload,free
50,-55.725,0.7347,1.3611,overload,free
51,-56.01,0.7453,1.3418,overload,free
52,-56.29,0.7558,1.3232,overload,free
53,-56.564,0.7662,1.3052,overload,free
54,-56.833,0.7765,1.2877,overload,free
55,-57.096,0.7868,1.2709,overload,free
56,-57.354,0.7971,1.2546,overload,free
57,-57.607,0.8072,1.2388,overload,free
58,-57.855,0.8173,1.2236,overload,free
59,-58.098,0.8273,1.2088,overload,free
60,-58.336,0.8372,1.1945,balanced,free
61,-58.569,0.847,1.1807,balanced,free
62,-58.798,0.8567,1.1672,balanced,free
63,-59.022,0.8664,1.1542,balanced,free
64,-59.241,0.8759,1.1416,balanced,free
65,-59.457,0.8854,1.1294,balanced,free
66,-59.667,0.8948,1.1176,balanced,free
67,-59.874,0.9041,1.1061,balanced,free
68,-60.077,0.9133,1.0949,balanced,free
69,-60.275,0.9224,1.0841,balanced,free
70,-60.47,0.9314,1.0736,balanced,free
71,-60.66,0.9403,1.0635,balanced,free
72,-60.847,0.9492,1.0536,balanced,free
73,-61.03,0.9579,1.044,balanced,free
74,-61.209,0.9665,1.0346,balanced,free
75,-61.385,0.975,1.0256,balanced,free
76,-61.558,0.9835,1.0168,balanced,free
77,-61.726,0.9918,1.0082,balanced,free
78,-61.892,1.0001,0.9999,balanced,free
79,-62.054,1.0082,0.9919,balanced,free
80,-62.213,1.0162,0.984,balanced,free
81,-62.369,1.0242,0.9764,balanced,free
82,-62.521,1.032,0.969,balanced,free
83,-62.671,1.0398,0.9617,balanced,free
84,-62.817,1.0474,0.9547,balanced,free
85,-62.961,1.055,0.9479,balanced,free
86,-63.102,1.0624,0.9412,balanced,free
87,-63.24,1.0698,0.9348,balanced,free
88,-63.375,1.077,0.9285,balanced,free
89,-63.508,1.0842,0.9223,balanced,free
90,-63.637,1.0913,0.9164,balanced,free
91,-63.765,1.0982,0.9106,balanced,free
92,-63.889,1.1051,0.9049,balanced,free
93,-64.012,1.1119,0.8994,balanced,free
94,-64.131,1.1186,0.894,balanced,free
95,-64.249,1.1251,0.8888,balanced,free
96,-64.364,1.1316,0.8837,balanced,free
97,-64.476,1.138,0.8787,balanced,free
98,-64.587,1.1443,0.8739,balanced,free
99,-64.695,1.1505,0.8692,balanced,free
100,-64.895,1.1621,0.8605,balanced,therapeutic
101,-65.095,1.1738,0.852,balanced,therapeutic
102,-65.295,1.1856,0.8435,balanced,therapeutic
103,-65.495,1.1975,0.8351,balanced,therapeutic
104,-65.695,1.2095,0.8268,balanced,therapeutic
105,-65.895,1.2217,0.8185,balanced,therapeutic
106,-66.095,1.234,0.8104,balanced,therapeutic
107,-66.295,1.2464,0.8023,balanced,therapeutic
108,-66.495,1.2589,0.7944,constrained,therapeutic
109,-66.695,1.2715,0.7865,constrained,therapeutic
110,-66.895,1.2843,0.7786,constrained,therapeutic
111,-67.095,1.2972,0.7709,constrained,therapeutic
112,-67.295,1.3103,0.7632,constrained,therapeutic
113,-67.495,1.3234,0.7556,constrained,therapeutic
114,-67.695,1.3367,0.7481,constrained,therapeutic
115,-67.895,1.3502,0.7407,constrained,therapeutic
116,-68.095,1.3637,0.7333,constrained,therapeutic
117,-68.295,1.3774,0.726,constrained,therapeutic
118,-68.495,1.3913,0.7188,constrained,therapeutic
119,-68.695,1.4053,0.7116,constrained,therapeutic
120,-68.895,1.4194,0.7045,constrained,therapeutic
121,-69.095,1.4337,0.6975,constrained,therapeutic
122,-69.295,1.4481,0.6906,constrained,therapeutic
123,-69.495,1.4626,0.6837,constrained,therapeutic
124,-69.695,1.4773,0.6769,constrained,therapeutic
125,-69.895,1.4922,0.6702,constrained,therapeutic
126,-70.095,1.5072,0.6635,constrained,therapeutic
127,-70.295,1.5223,0.6569,constrained,therapeutic
128,-70.495,1.5376,0.6504,constrained,therapeutic
129,-70.695,1.5531,0.6439,constrained,therapeutic
130,-70.895,1.5687,0.6375,constrained,therapeutic
131,-71.095,1.5844,0.6311,constrained,therapeutic
132,-71.295,1.6004,0.6249,constrained,therapeutic
133,-71.495,1.6164,0.6186,constrained,therapeutic
