cell,V_m,C_mem
0,-22.284,0.138
1,-10.474,0.0765
2,-4.614,0.057
3,-4.614,0.057
4,-10.474,0.0765
5,-22.284,0.138
6,-38.546,0.3112
7,-51.438,0.593
8,-59.877,0.9042
9,-64.81,1.1571
10,-67.493,1.3233
11,-68.861,1.417
12,-69.513,1.4639
13,-69.804,1.4854
14,-69.926,1.4945
15,-69.974,1.498
16,-69.991,1.4993
17,-69.997,1.4998
18,-69.999,1.4999
19,-70.0,1.5
20,-70.0,1.5
21,-70.0,1.5
22,-70.0,1.5
23,-70.0,1.5
24,-70.0,1.5
25,-70.0,1.5
26,-70.0,1.5
27,-70.0,1.5
28,-70.0,1.5
29,-70.0,1.5
30,-70.0,1.5
31,-70.0,1.5
32,-70.0,1.5
33,-70.0,1.5
34,-70.0,1.5
35,-70.0,1.5
36,-70.0,1.5
37,-70.0,1.5
38,-70.0,1.5
39,-70.0,1.5
40,-70.0,1.5
41,-70.0,1.5
42,-70.0,1.5
43,-70.0,1.5
44,-70.0,1.5
45,-70.0,1.5
46,-70.0,1.5
47,-70.0,1.5
48,-70.0,1.5
49,-70.0,1.5
50,-70.0,1.5
51,-70.0,1.5
52,-70.0,1.5
53,-70.0,1.5
54,-70.0,1.5
55,-70.0,1.5
56,-70.0,1.5
57,-70.0,1.5
58,-70.0,1.5
59,-70.0,1.5
60,-70.0,1.5
61,-70.0,1.5
62,-70.0,1.5
63,-70.0,1.5
64,-70.0,1.5
65,-70.0,1.5
66,-70.0,1.5
67,-69.999,1.4999
68,-69.997,1.4998
69,-69.991,1.4993
70,-69.974,1.498
71,-69.926,1.4945
72,-69.804,1.4854
73,-69.513,1.4639
74,-68.861,1.417
75,-67.493,1.3233
76,-64.81,1.1571
77,-59.877,0.9042
78,-51.438,0.593
79,-38.546,0.3112
