step,mean_morphogen,mean_C,mean_psi
0,0.0625,0.9994,0.0062
1,0.0632,0.9988,0.018
2,0.064,0.9981,0.0296
3,0.0647,0.9975,0.041
4,0.0654,0.9969,0.0523
5,0.0662,0.9963,0.0635
6,0.0669,0.9957,0.0748
7,0.0676,0.9951,0.0861
8,0.0683,0.9945,0.0976
9,0.0691,0.9939,0.1093
10,0.0698,0.9933,0.1213
11,0.0705,0.9927,0.1336
12,0.0712,0.9921,0.1463
13,0.0719,0.9915,0.1596
14,0.0726,0.9909,0.1734
15,0.0732,0.9903,0.1878
16,0.0739,0.9897,0.2029
17,0.0746,0.9891,0.2189
18,0.0753,0.9886,0.2357
19,0.076,0.988,0.2536
20,0.0766,0.9874,0.2726
21,0.0773,0.9868,0.2928
22,0.0779,0.9863,0.3144
23,0.0786,0.9857,0.3376
24,0.0793,0.9851,0.3624
25,0.0799,0.9846,0.3892
26,0.0805,0.984,0.4182
27,0.0812,0.9834,0.4494
28,0.0818,0.9829,0.4834
29,0.0825,0.9823,0.5203
30,0.0831,0.9818,0.5605
31,0.0837,0.9812,0.6044
32,0.0843,0.9807,0.6526
33,0.085,0.9801,0.7055
34,0.0856,0.9796,0.7637
35,0.0862,0.979,0.828
36,0.0868,0.9785,0.8975
37,0.0874,0.978,0.9728
38,0.088,0.9774,1.0544
39,0.0886,0.9769,1.143
40,0.0892,0.9764,1.2393
41,0.0898,0.9758,1.344
42,0.0904,0.9753,1.4581
43,0.091,0.9748,1.5825
44,0.0916,0.9742,1.7183
45,0.0922,0.9737,1.8667
46,0.0927,0.9732,2.0289
47,0.0933,0.9727,2.2064
48,0.0939,0.9722,2.4009
49,0.0945,0.9717,2.614
50,0.095,0.9712,2.848
51,0.0956,0.9706,3.1048
52,0.0962,0.9701,3.3871
53,0.0967,0.9696,3.686
54,0.0973,0.9691,3.9922
55,0.0978,0.9686,4.3057
56,0.0984,0.9681,4.6262
57,0.0989,0.9676,4.9536
58,0.0995,0.9671,5.2878
59,0.1,0.9666,5.6286
60,0.1006,0.9661,5.9759
61,0.1011,0.9657,6.3296
62,0.1017,0.9652,6.6895
63,0.1022,0.9647,7.0556
64,0.1027,0.9642,7.4277
65,0.1033,0.9637,7.8057
66,0.1038,0.9632,8.1895
67,0.1043,0.9628,8.579
68,0.1048,0.9623,8.974
69,0.1054,0.9618,9.3746
70,0.1059,0.9613,9.7805
71,0.1064,0.9609,10.1917
72,0.1069,0.9604,10.6081
73,0.1074,0.9599,11.0296
74,0.1079,0.9595,11.4561
75,0.1084,0.959,11.8876
76,0.1089,0.9585,12.3239
77,0.1094,0.9581,12.765
78,0.1099,0.9576,13.2108
79,0.1104,0.9572,13.6612
80,0.1109,0.9567,14.1162
81,0.1114,0.9562,14.5756
82,0.1119,0.9558,15.0395
83,0.1124,0.9553,15.5077
84,0.1129,0.9549,15.9801
85,0.1134,0.9545,16.4568
86,0.1139,0.954,16.9376
87,0.1144,0.9536,17.4225
88,0.1148,0.9531,17.9114
89,0.1153,0.9527,18.4044
90,0.1158,0.9522,18.9012
91,0.1163,0.9518,19.4019
92,0.1167,0.9514,19.9064
93,0.1172,0.9509,20.4147
94,0.1177,0.9505,20.9267
95,0.1181,0.9501,21.4424
96,0.1186,0.9497,21.9617
97,0.1191,0.9492,22.4846
98,0.1195,0.9488,23.011
99,0.12,0.9484,23.5409
100,0.1205,0.948,24.0743
101,0.1209,0.9475,24.6111
102,0.1214,0.9471,25.1513
103,0.1218,0.9467,25.6948
104,0.1223,0.9463,26.2416
105,0.1227,0.9459,26.7918
106,0.1232,0.9455,27.3452
107,0.1236,0.9451,27.9018
108,0.1241,0.9446,28.4616
109,0.1245,0.9442,29.0245
110,0.1249,0.9438,29.5906
111,0.1254,0.9434,30.1599
112,0.1258,0.943,30.7322
113,0.1263,0.9426,31.3076
114,0.1267,0.9422,31.886
115,0.1271,0.9418,32.4675
116,0.1276,0.9414,33.0521
117,0.128,0.941,33.6396
118,0.1284,0.9406,34.2301
119,0.1288,0.9403,34.8236
120,0.1293,0.9399,35.4201
121,0.1297,0.9395,36.0196
122,0.1301,0.9391,36.622
123,0.1305,0.9387,37.2274
124,0.131,0.9383,37.8358
125,0.1314,0.9379,38.4471
126,0.1318,0.9376,39.0614
127,0.1322,0.9372,39.6787
128,0.1326,0.9368,40.299
129,0.133,0.9364,40.9222
130,0.1335,0.936,41.5485
131,0.1339,0.9357,42.1779
132,0.1343,0.9353,42.8102
133,0.1347,0.9349,43.4457
134,0.1351,0.9346,44.0843
135,0.1355,0.9342,44.7261
136,0.1359,0.9338,45.371
137,0.1363,0.9335,46.0192
138,0.1367,0.9331,46.6707
139,0.1371,0.9327,47.3255
140,0.1375,0.9324,47.9838
141,0.1379,0.932,48.6455
142,0.1383,0.9316,49.3108
143,0.1387,0.9313,49.9797
144,0.1391,0.9309,50.6524
145,0.1395,0.9306,51.3289
146,0.1399,0.9302,52.0094
147,0.1403,0.9299,52.694
148,0.1407,0.9295,53.3828
149,0.141,0.9292,54.076
150,0.1414,0.9288,54.7738
151,0.1418,0.9285,55.4763
152,0.1422,0.9281,56.1838
153,0.1426,0.9278,56.8965
154,0.143,0.9275,57.6146
155,0.1433,0.9271,58.3385
156,0.1437,0.9268,59.0684
157,0.1441,0.9264,59.8048
158,0.1445,0.9261,60.5479
159,0.1449,0.9258,61.2982
160,0.1452,0.9254,62.0562
161,0.1456,0.9251,62.8224
162,0.146,0.9248,63.5973
163,0.1463,0.9244,64.3818
164,0.1467,0.9241,65.1764
165,0.1471,0.9238,65.982
166,0.1475,0.9235,66.7995
167,0.1478,0.9231,67.6299
168,0.1482,0.9228,68.4745
169,0.1486,0.9225,69.3321
170,0.1489,0.9222,70.2033
171,0.1493,0.9218,71.089
172,0.1496,0.9215,71.9901
173,0.15,0.9212,72.9078
174,0.1504,0.9209,73.8433
175,0.1507,0.9206,74.7979
176,0.1511,0.9203,75.773
177,0.1514,0.9199,76.7701
178,0.1518,0.9196,77.791
179,0.1522,0.9193,78.8375
180,0.1525,0.919,79.9117
181,0.1529,0.9187,81.0155
182,0.1532,0.9184,82.1516
183,0.1536,0.9181,83.3058
184,0.1539,0.9178,84.4722
185,0.1543,0.9175,85.6507
186,0.1546,0.9172,86.8413
187,0.155,0.9169,88.0439
188,0.1553,0.9166,89.2584
189,0.1557,0.9163,90.4848
190,0.156,0.916,91.7229
191,0.1563,0.9157,92.9728
192,0.1567,0.9154,94.2343
193,0.157,0.9151,95.5074
194,0.1574,0.9148,96.792
195,0.1577,0.9145,98.0881
196,0.158,0.9143,99.3955
197,0.1584,0.914,100.7143
198,0.1587,0.9137,102.0442
199,0.1591,0.9134,103.3854
200,0.1594,0.9131,104.7377
201,0.1597,0.9128,106.101
202,0.1601,0.9125,107.4753
203,0.1604,0.9123,108.8605
204,0.1607,0.912,110.2565
205,0.1611,0.9117,111.6634
