snapshot_step,cell_index,morphogen,C,psi
100,0,4.9596,2.2679,1910.0565
100,1,1.8098,1.2179,7.6508
100,2,0.4388,0.9712,0.2784
100,3,0.0778,0.9288,0.0126
100,4,0.0107,0.9231,0.001
100,5,0.0012,0.9224,0.0001
100,6,0.0001,0.9224,0.0
100,7,0.0,0.9223,0.0
100,8,0.0,0.9223,0.0
100,9,0.0,0.9223,0.0
100,10,0.0,0.9223,0.0
100,11,0.0,0.9223,0.0
100,12,0.0,0.9223,0.0
100,13,0.0,0.9223,0.0
100,14,0.0,0.9223,0.0
100,15,0.0,0.9223,0.0
100,16,0.0,0.9223,0.0
100,17,0.0,0.9223,0.0
100,18,0.0,0.9223,0.0
100,19,0.0,0.9223,0.0
100,20,0.0,0.9223,0.0
100,21,0.0,0.9223,0.0
100,22,0.0,0.9223,0.0
100,23,0.0,0.9223,0.0
100,24,0.0,0.9223,0.0
100,25,0.0,0.9223,0.0
100,26,0.0,0.9223,0.0
100,27,0.0,0.9223,0.0
100,28,0.0,0.9223,0.0
100,29,0.0,0.9223,0.0
100,30,0.0,0.9223,0.0
100,31,0.0,0.9223,0.0
100,32,0.0,0.9223,0.0
100,33,0.0,0.9223,0.0
100,34,0.0,0.9223,0.0
100,35,0.0,0.9223,0.0
100,36,0.0,0.9223,0.0
100,37,0.0,0.9223,0.0
100,38,0.0,0.9223,0.0
100,39,0.0,0.9223,0.0
100,40,0.0,0.9223,0.0
100,41,0.0,0.9223,0.0
100,42,0.0,0.9223,0.0
100,43,0.0,0.9223,0.0
100,44,0.0,0.9223,0.0
100,45,0.0,0.9223,0.0
100,46,0.0,0.9223,0.0
100,47,0.0,0.9223,0.0
100,48,0.0,0.9223,0.0
100,49,0.0,0.9223,0.0
100,50,0.0,0.9223,0.0
100,51,0.0,0.9223,0.0
100,52,0.0,0.9223,0.0
100,53,0.0,0.9223,0.0
100,54,0.0,0.9223,0.0
100,55,0.0,0.9223,0.0
100,56,0.0,0.9223,0.0
100,57,0.0,0.9223,0.0
100,58,0.0,0.9223,0.0
100,59,0.0,0.9223,0.0
100,60,0.0,0.9223,0.0
100,61,0.0,0.9223,0.0
100,62,0.0,0.9223,0.0
100,63,0.0,0.9223,0.0
100,64,0.0,0.9223,0.0
100,65,0.0,0.9223,0.0
100,66,0.0,0.9223,0.0
100,67,0.0,0.9223,0.0
100,68,0.0,0.9223,0.0
100,69,0.0,0.9223,0.0
100,70,0.0,0.9223,0.0
100,71,0.0,0.9223,0.0
100,72,0.0,0.9223,0.0
100,73,0.0,0.9223,0.0
100,74,0.0001,0.9224,0.0
100,75,0.0012,0.9224,0.0001
100,76,0.0107,0.9231,0.001
100,77,0.0778,0.9288,0.0126
100,78,0.4388,0.9712,0.2784
100,79,1.8098,1.2179,7.6508
300,0,4.9724,4.5041,13325.5931
300,1,2.8707,2.3175,4754.2301
300,2,1.3853,1.3306,16.9163
300,3,0.5621,0.9554,0.7797
300,4,0.1937,0.8323,0.0813
300,5,0.0574,0.7972,0.009
300,6,0.0149,0.7884,0.0013
300,7,0.0034,0.7864,0.0003
300,8,0.0007,0.786,0.0
300,9,0.0001,0.7859,0.0
300,10,0.0,0.7859,0.0
300,11,0.0,0.7859,0.0
300,12,0.0,0.7859,0.0
300,13,0.0,0.7859,0.0
300,14,0.0,0.7859,0.0
300,15,0.0,0.7859,0.0
300,16,0.0,0.7859,0.0
300,17,0.0,0.7859,0.0
300,18,0.0,0.7859,0.0
300,19,0.0,0.7859,0.0
300,20,0.0,0.7859,0.0
300,21,0.0,0.7859,0.0
300,22,0.0,0.7859,0.0
300,23,0.0,0.7859,0.0
300,24,0.0,0.7859,0.0
300,25,0.0,0.7859,0.0
300,26,0.0,0.7859,0.0
300,27,0.0,0.7859,0.0
300,28,0.0,0.7859,0.0
300,29,0.0,0.7859,0.0
300,30,0.0,0.7859,0.0
300,31,0.0,0.7859,0.0
300,32,0.0,0.7859,0.0
300,33,0.0,0.7859,0.0
300,34,0.0,0.7859,0.0
300,35,0.0,0.7859,0.0
300,36,0.0,0.7859,0.0
300,37,0.0,0.7859,0.0
300,38,0.0,0.7859,0.0
300,39,0.0,0.7859,0.0
300,40,0.0,0.7859,0.0
300,41,0.0,0.7859,0.0
300,42,0.0,0.7859,0.0
300,43,0.0,0.7859,0.0
300,44,0.0,0.7859,0.0
300,45,0.0,0.7859,0.0
300,46,0.0,0.7859,0.0
300,47,0.0,0.7859,0.0
300,48,0.0,0.7859,0.0
300,49,0.0,0.7859,0.0
300,50,0.0,0.7859,0.0
300,51,0.0,0.7859,0.0
300,52,0.0,0.7859,0.0
300,53,0.0,0.7859,0.0
300,54,0.0,0.7859,0.0
300,55,0.0,0.7859,0.0
300,56,0.0,0.7859,0.0
300,57,0.0,0.7859,0.0
300,58,0.0,0.7859,0.0
300,59,0.0,0.7859,0.0
300,60,0.0,0.7859,0.0
300,61,0.0,0.7859,0.0
300,62,0.0,0.7859,0.0
300,63,0.0,0.7859,0.0
300,64,0.0,0.7859,0.0
300,65,0.0,0.7859,0.0
300,66,0.0,0.7859,0.0
300,67,0.0,0.7859,0.0
300,68,0.0,0.7859,0.0
300,69,0.0,0.7859,0.0
300,70,0.0,0.7859,0.0
300,71,0.0001,0.7859,0.0
300,72,0.0007,0.786,0.0
300,73,0.0034,0.7864,0.0003
300,74,0.0149,0.7884,0.0013
300,75,0.0574,0.7972,0.009
300,76,0.1937,0.8323,0.0813
300,77,0.5621,0.9554,0.7797
300,78,1.3853,1.3306,16.9163
300,79,2.8707,2.3175,4754.2301
599,0,4.9781,7.2519,36164.1371
599,1,3.3431,4.1773,26452.5919
599,2,2.062,2.3773,10067.6535
599,3,1.1636,1.423,68.1261
599,4,0.5983,0.9587,1.0789
599,5,0.2802,0.7516,0.1635
599,6,0.1197,0.6668,0.0292
599,7,0.0468,0.6348,0.0054
599,8,0.0168,0.6237,0.0012
599,9,0.0055,0.6201,0.0003
599,10,0.0017,0.6191,0.0001
599,11,0.0005,0.6188,0.0
599,12,0.0001,0.6187,0.0
599,13,0.0,0.6187,0.0
599,14,0.0,0.6187,0.0
599,15,0.0,0.6187,0.0
599,16,0.0,0.6187,0.0
599,17,0.0,0.6187,0.0
599,18,0.0,0.6187,0.0
599,19,0.0,0.6187,0.0
599,20,0.0,0.6187,0.0
599,21,0.0,0.6187,0.0
599,22,0.0,0.6187,0.0
599,23,0.0,0.6187,0.0
599,24,0.0,0.6187,0.0
599,25,0.0,0.6187,0.0
599,26,0.0,0.6187,0.0
599,27,0.0,0.6187,0.0
599,28,0.0,0.6187,0.0
599,29,0.0,0.6187,0.0
599,30,0.0,0.6187,0.0
599,31,0.0,0.6187,0.0
599,32,0.0,0.6187,0.0
599,33,0.0,0.6187,0.0
599,34,0.0,0.6187,0.0
599,35,0.0,0.6187,0.0
599,36,0.0,0.6187,0.0
599,37,0.0,0.6187,0.0
599,38,0.0,0.6187,0.0
599,39,0.0,0.6187,0.0
599,40,0.0,0.6187,0.0
599,41,0.0,0.6187,0.0
599,42,0.0,0.6187,0.0
599,43,0.0,0.6187,0.0
599,44,0.0,0.6187,0.0
