step,t,beta,C,Ms,psi,regime
0,0.0,0.03,0.8033,0.2749,0.5127,constrained
1,0.05,0.02998,0.8066,0.3497,0.6489,constrained
2,0.1,0.02996,0.8099,0.4244,0.7838,constrained
3,0.15,0.02994,0.8132,0.499,0.9174,balanced
4,0.2,0.02992,0.8165,0.5736,1.0501,balanced
5,0.25,0.0299,0.8197,0.6481,1.1819,balanced
6,0.3,0.02988,0.823,0.7226,1.3129,overload
7,0.35,0.02986,0.8263,0.797,1.4435,overload
8,0.4,0.02984,0.8296,0.8715,1.5736,overload
9,0.45,0.02982,0.8328,0.9461,1.7034,overload
10,0.5,0.0298,0.8361,1.0207,1.8331,overload
11,0.55,0.02978,0.8393,1.0954,1.9629,overload
12,0.6,0.02976,0.8426,1.1701,2.0928,overload
13,0.65,0.02974,0.8458,1.245,2.2229,overload
14,0.7,0.02972,0.8491,1.32,2.3535,overload
15,0.75,0.0297,0.8523,1.3952,2.4847,overload
16,0.8,0.02968,0.8555,1.4705,2.6166,overload
17,0.85,0.02966,0.8588,1.546,2.7493,overload
18,0.9,0.02964,0.862,1.6218,2.8829,overload
19,0.95,0.02962,0.8652,1.6977,3.0177,overload
20,1.0,0.0296,0.8684,1.774,3.1537,overload
21,1.05,0.02958,0.8717,1.8504,3.291,overload
22,1.1,0.02956,0.8749,1.9272,3.4299,overload
23,1.15,0.02954,0.8781,2.0043,3.5704,overload
24,1.2,0.02952,0.8813,2.0817,3.7128,overload
25,1.25,0.0295,0.8845,2.1595,3.857,overload
26,1.3,0.02948,0.8877,2.2376,4.0034,overload
27,1.35,0.02946,0.8909,2.3161,4.152,overload
28,1.4,0.02944,0.8941,2.395,4.303,overload
29,1.45,0.02942,0.8972,2.4744,4.4565,overload
30,1.5,0.0294,0.9004,2.5542,4.6127,overload
31,1.55,0.02938,0.9036,2.6345,4.7719,overload
32,1.6,0.02936,0.9068,2.7153,4.934,overload
33,1.65,0.02934,0.9099,2.7966,5.0994,overload
34,1.7,0.02932,0.9131,2.8784,5.2682,overload
35,1.75,0.0293,0.9163,2.9608,5.4406,overload
36,1.8,0.02928,0.9194,3.0438,5.6168,overload
37,1.85,0.02926,0.9226,3.1274,5.797,overload
38,1.9,0.02924,0.9257,3.2117,5.9814,overload
39,1.95,0.02922,0.9289,3.2966,6.1702,overload
40,2.0,0.0292,0.932,3.3822,6.3636,overload
41,2.05,0.02918,0.9352,3.4685,6.5619,overload
42,2.1,0.02916,0.9383,3.5556,6.7654,overload
43,2.15,0.02914,0.9414,3.6435,6.9742,overload
44,2.2,0.02912,0.9446,3.7321,7.1886,overload
45,2.25,0.0291,0.9477,3.8216,7.409,overload
46,2.3,0.02908,0.9508,3.9119,7.6355,overload
47,2.35,0.02906,0.9539,4.0032,7.8686,overload
48,2.4,0.02904,0.9571,4.0953,8.1085,overload
49,2.45,0.02902,0.9602,4.1884,8.3555,overload
50,2.5,0.029,0.9633,4.2825,8.6101,overload
51,2.55,0.02898,0.9664,4.3776,8.8725,overload
52,2.6,0.02896,0.9695,4.4738,9.1432,overload
53,2.65,0.02894,0.9726,4.5711,9.4226,overload
54,2.7,0.02892,0.9757,4.6695,9.711,overload
55,2.75,0.0289,0.9788,4.7691,10.009,overload
56,2.8,0.02888,0.9818,4.8699,10.317,overload
57,2.85,0.02886,0.9849,4.9719,10.6354,overload
58,2.9,0.02884,0.988,5.0753,10.9649,overload
59,2.95,0.02882,0.9911,5.18,11.306,overload
60,3.0,0.0288,0.9942,5.2861,11.6592,overload
61,3.05,0.02878,0.9972,5.3936,12.0253,overload
62,3.1,0.02876,1.0003,5.5026,12.4047,overload
63,3.15,0.02874,1.0034,5.6132,12.7982,overload
64,3.2,0.02872,1.0064,5.7253,13.2066,overload
65,3.25,0.0287,1.0095,5.8391,13.6306,overload
66,3.3,0.02868,1.0125,5.9546,14.0711,overload
67,3.35,0.02866,1.0156,6.0718,14.5289,overload
68,3.4,0.02864,1.0186,6.1909,15.0049,overload
69,3.45,0.02862,1.0217,6.3119,15.5001,overload
70,3.5,0.0286,1.0247,6.4348,16.0156,overload
71,3.55,0.02858,1.0277,6.5597,16.5524,overload
72,3.6,0.02856,1.0308,6.6868,17.1119,overload
73,3.65,0.02854,1.0338,6.816,17.6951,overload
74,3.7,0.02852,1.0368,6.9475,18.3035,overload
75,3.75,0.0285,1.0398,7.0813,18.9385,overload
76,3.8,0.02848,1.0429,7.2175,19.6017,overload
77,3.85,0.02846,1.0459,7.3562,20.2946,overload
78,3.9,0.02844,1.0489,7.4975,21.019,overload
79,3.95,0.02842,1.0519,7.6416,21.7769,overload
80,4.0,0.0284,1.0549,7.7884,22.5701,overload
81,4.05,0.02838,1.0579,7.9381,23.4009,overload
82,4.1,0.02836,1.0609,8.0909,24.2716,overload
83,4.15,0.02834,1.0639,8.2468,25.1847,overload
84,4.2,0.02832,1.0669,8.4059,26.1428,overload
85,4.25,0.0283,1.0699,8.5685,27.1488,overload
86,4.3,0.02828,1.0729,8.7345,28.2058,overload
87,4.35,0.02826,1.0759,8.9043,29.3171,overload
88,4.4,0.02824,1.0788,9.0778,30.4864,overload
89,4.45,0.02822,1.0818,9.2553,31.7175,overload
90,4.5,0.0282,1.0848,9.437,33.0146,overload
91,4.55,0.02818,1.0878,9.623,34.3823,overload
92,4.6,0.02816,1.0907,9.8135,35.8255,overload
93,4.65,0.02814,1.0937,10.0086,37.3496,overload
94,4.7,0.02812,1.0967,10.2087,38.9604,overload
95,4.75,0.0281,1.0996,10.4139,40.6641,overload
96,4.8,0.02808,1.1026,10.6244,42.4677,overload
97,4.85,0.02806,1.1055,10.8405,44.3787,overload
98,4.9,0.02804,1.1085,11.0625,46.4051,overload
99,4.95,0.02802,1.1114,11.2905,48.556,overload
100,5.0,0.028,1.1144,11.525,50.8411,overload
101,5.05,0.02798,1.1173,11.7662,53.2711,overload
102,5.1,0.02796,1.1203,12.0144,55.8577,overload
103,5.15,0.02794,1.1232,12.27,58.6138,overload
104,5.2,0.02792,1.1261,12.5334,61.5537,overload
105,5.25,0.0279,1.129,12.8049,64.6928,overload
106,5.3,0.02788,1.132,13.085,68.0485,overload
107,5.35,0.02786,1.1349,13.3741,71.6399,overload
108,5.4,0.02784,1.1378,13.6727,75.488,overload
109,5.45,0.02782,1.1407,13.9813,79.6162,overload
110,5.5,0.0278,1.1436,14.3005,84.0505,overload
111,5.55,0.02778,1.1466,14.6309,88.8199,overload
112,5.6,0.02776,1.1495,14.9731,93.9567,overload
113,5.65,0.02774,1.1524,15.3277,99.497,overload
114,5.7,0.02772,1.1553,15.6956,105.4811,overload
115,5.75,0.0277,1.1582,16.0775,111.9545,overload
116,5.8,0.02768,1.1611,16.4744,118.9681,overload
