step,lineage,psi
0,low-alpha (slow constraint growth),0.5137
1,low-alpha (slow constraint growth),0.6513
2,low-alpha (slow constraint growth),0.7881
3,low-alpha (slow constraint growth),0.9242
4,low-alpha (slow constraint growth),1.0598
5,low-alpha (slow constraint growth),1.195
6,low-alpha (slow constraint growth),1.33
7,low-alpha (slow constraint growth),1.4648
8,low-alpha (slow constraint growth),1.5998
9,low-alpha (slow constraint growth),1.7349
10,low-alpha (slow constraint growth),1.8704
11,low-alpha (slow constraint growth),2.0065
12,low-alpha (slow constraint growth),2.1431
13,low-alpha (slow constraint growth),2.2806
14,low-alpha (slow constraint growth),2.419
15,low-alpha (slow constraint growth),2.5585
16,low-alpha (slow constraint growth),2.6993
17,low-alpha (slow constraint growth),2.8414
18,low-alpha (slow constraint growth),2.9851
19,low-alpha (slow constraint growth),3.1305
20,low-alpha (slow constraint growth),3.2777
21,low-alpha (slow constraint growth),3.427
22,low-alpha (slow constraint growth),3.5785
23,low-alpha (slow constraint growth),3.7323
24,low-alpha (slow constraint growth),3.8886
25,low-alpha (slow constraint growth),4.0476
26,low-alpha (slow constraint growth),4.2095
27,low-alpha (slow constraint growth),4.3745
28,low-alpha (slow constraint growth),4.5428
29,low-alpha (slow constraint growth),4.7145
30,low-alpha (slow constraint growth),4.8899
31,low-alpha (slow constraint growth),5.0692
32,low-alpha (slow constraint growth),5.2526
33,low-alpha (slow constraint growth),5.4404
34,low-alpha (slow constraint growth),5.6327
35,low-alpha (slow constraint growth),5.8299
36,low-alpha (slow constraint growth),6.0321
37,low-alpha (slow constraint growth),6.2398
38,low-alpha (slow constraint growth),6.4531
39,low-alpha (slow constraint growth),6.6724
40,low-alpha (slow constraint growth),6.8979
41,low-alpha (slow constraint growth),7.13
42,low-alpha (slow constraint growth),7.3691
43,low-alpha (slow constraint growth),7.6155
44,low-alpha (slow constraint growth),7.8695
45,low-alpha (slow constraint growth),8.1316
46,low-alpha (slow constraint growth),8.4023
47,low-alpha (slow constraint growth),8.6819
48,low-alpha (slow constraint growth),8.9709
49,low-alpha (slow constraint growth),9.2698
50,low-alpha (slow constraint growth),9.5791
51,low-alpha (slow constraint growth),9.8994
52,low-alpha (slow constraint growth),10.2312
53,low-alpha (slow constraint growth),10.5753
54,low-alpha (slow constraint growth),10.9321
55,low-alpha (slow constraint growth),11.3025
56,low-alpha (slow constraint growth),11.6871
57,low-alpha (slow constraint growth),12.0867
58,low-alpha (slow constraint growth),12.5022
59,low-alpha (slow constraint growth),12.9344
60,low-alpha (slow constraint growth),13.3843
61,low-alpha (slow constraint growth),13.8529
62,low-alpha (slow constraint growth),14.3411
63,low-alpha (slow constraint growth),14.8502
64,low-alpha (slow constraint growth),15.3814
65,low-alpha (slow constraint growth),15.9359
66,low-alpha (slow constraint growth),16.5152
67,low-alpha (slow constraint growth),17.1206
68,low-alpha (slow constraint growth),17.7539
69,low-alpha (slow constraint growth),18.4166
70,low-alpha (slow constraint growth),19.1106
71,low-alpha (slow constraint growth),19.8379
72,low-alpha (slow constraint growth),20.6005
73,low-alpha (slow constraint growth),21.4007
74,low-alpha (slow constraint growth),22.2408
75,low-alpha (slow constraint growth),23.1237
76,low-alpha (slow constraint growth),24.0519
77,low-alpha (slow constraint growth),25.0287
78,low-alpha (slow constraint growth),26.0572
79,low-alpha (slow constraint growth),27.1411
80,low-alpha (slow constraint growth),28.2842
81,low-alpha (slow constraint growth),29.4906
82,low-alpha (slow constraint growth),30.7649
83,low-alpha (slow constraint growth),32.112
84,low-alpha (slow constraint growth),33.5373
85,low-alpha (slow constraint growth),35.0466
86,low-alpha (slow constraint growth),36.6463
87,low-alpha (slow constraint growth),38.3433
88,low-alpha (slow constraint growth),40.1452
89,low-alpha (slow constraint growth),42.0604
90,low-alpha (slow constraint growth),44.0979
91,low-alpha (slow constraint growth),46.2677
92,low-alpha (slow constraint growth),48.581
