step,t,c_wildlife,c_host,psi_host,regime,phase
0,0.0,0.5,0.5,0.8,balanced,stable
1,0.05,0.5,0.5,1.1992,balanced,stable
2,0.1,0.5,0.5,1.599,overload,stable
3,0.15,0.5,0.5,2.0008,overload,stable
4,0.2,0.5,0.5,2.4057,overload,stable
5,0.25,0.5,0.5,2.8152,overload,stable
6,0.3,0.5,0.5,3.2305,overload,stable
7,0.35,0.5,0.5,3.6529,overload,stable
8,0.4,0.5,0.5,4.0839,overload,stable
9,0.45,0.5,0.5,4.5249,overload,stable
10,0.5,0.5,0.5,4.9775,overload,stable
11,0.55,0.5,0.5,5.4432,overload,stable
12,0.6,0.5,0.5,5.9237,overload,stable
13,0.65,0.5,0.5,6.4207,overload,stable
14,0.7,0.5,0.5,6.9362,overload,stable
15,0.75,0.5,0.5,7.4722,overload,stable
16,0.8,0.5,0.5,8.0307,overload,stable
17,0.85,0.5,0.5,8.6142,overload,stable
18,0.9,0.5,0.5,9.2252,overload,stable
19,0.95,0.5,0.5,9.8663,overload,stable
20,1.0,0.5,0.5,10.5406,overload,stable
21,1.05,0.5,0.5,11.2512,overload,stable
22,1.1,0.5,0.5,12.0016,overload,stable
23,1.15,0.5,0.5,12.7958,overload,stable
24,1.2,0.5,0.5,13.638,overload,stable
25,1.25,0.5,0.5,14.5328,overload,stable
26,1.3,0.5,0.5,15.4853,overload,stable
27,1.35,0.5,0.5,16.5014,overload,stable
28,1.4,0.5,0.5,17.5873,overload,stable
29,1.45,0.5,0.5,18.75,overload,stable
30,1.5,0.5,0.5,19.9975,overload,stable
31,1.55,0.5,0.5,21.3384,overload,stable
32,1.6,0.5,0.5,22.7827,overload,stable
33,1.65,0.5,0.5,24.3413,overload,stable
34,1.7,0.5,0.5,26.0267,overload,stable
35,1.75,0.5,0.5,27.8529,overload,stable
36,1.8,0.5,0.5,29.8358,overload,stable
37,1.85,0.5,0.5,31.9933,overload,stable
38,1.9,0.5,0.5,34.3461,overload,stable
39,1.95,0.5,0.5,36.9174,overload,stable
40,2.0,0.5,0.5,39.7341,overload,stable
41,2.05,0.5,0.5,42.827,overload,stable
42,2.1,0.5,0.5,46.2315,overload,stable
43,2.15,0.5,0.5,49.9885,overload,stable
44,2.2,0.5,0.5,54.1457,overload,stable
45,2.25,0.5,0.5,58.7585,overload,stable
46,2.3,0.5,0.5,63.8914,overload,stable
47,2.35,0.5,0.5,69.6207,overload,stable
48,2.4,0.5,0.5,76.0359,overload,stable
49,2.45,0.5,0.5,83.2431,overload,stable
50,2.5,0.5,0.5,91.3686,overload,stable
51,2.55,0.5,0.5,100.5636,overload,stable
52,2.6,0.5,0.5,111.0096,overload,stable
53,2.65,0.5,0.5,122.9264,overload,stable
54,2.7,0.5,0.5,136.5811,overload,stable
55,2.75,0.5,0.5,152.301,overload,stable
56,2.8,0.5,0.5,170.4892,overload,stable
57,2.85,0.5,0.5,191.6465,overload,stable
58,2.9,0.5,0.5,216.3995,overload,stable
59,2.95,0.5,0.5,245.2971,overload,stable
60,3.0,0.5,0.5,278.5054,overload,stable
61,3.05,0.5,0.5,314.6182,overload,stable
62,3.1,0.5,0.5,352.7311,overload,stable
63,3.15,0.5,0.5,392.844,overload,stable
64,3.2,0.5,0.5,434.9569,overload,stable
65,3.25,0.5,0.5,479.0697,overload,stable
66,3.3,0.5,0.5,525.1826,overload,stable
67,3.35,0.5,0.5,573.2955,overload,stable
68,3.4,0.5,0.5,623.4084,overload,stable
69,3.45,0.5,0.5,675.5212,overload,stable
70,3.5,0.5,0.5,729.6341,overload,stable
71,3.55,0.5,0.5,785.747,overload,stable
72,3.6,0.5,0.5,843.8599,overload,stable
73,3.65,0.5,0.5,903.9727,overload,stable
74,3.7,0.5,0.5,966.0856,overload,stable
75,3.75,0.5,0.5,1030.1985,overload,stable
76,3.8,0.5,0.5,1096.3113,overload,stable
77,3.85,0.5,0.5,1164.4242,overload,stable
78,3.9,0.5,0.5,1234.5371,overload,stable
79,3.95,0.5,0.5,1306.65,overload,stable
80,4.0,0.5,0.5,1380.7628,overload,stable
81,4.05,0.5,0.5,1456.8757,overload,stable
82,4.1,0.5,0.5,1534.9886,overload,stable
83,4.15,0.5,0.5,1615.1015,overload,stable
84,4.2,0.5,0.5,1697.2143,overload,stable
85,4.25,0.5,0.5,1781.3272,overload,stable
86,4.3,0.5,0.5,1867.4401,overload,stable
87,4.35,0.5,0.5,1955.553,overload,stable
88,4.4,0.5,0.5,2045.6658,overload,stable
89,4.45,0.5,0.5,2137.7787,overload,stable
90,4.5,0.5,0.5,2231.8916,overload,stable
91,4.55,0.5,0.5,2328.0045,overload,stable
92,4.6,0.5,0.5,2426.1173,overload,stable
93,4.65,0.5,0.5,2526.2302,overload,stable
94,4.7,0.5,0.5,2628.3431,overload,stable
95,4.75,0.5,0.5,2732.456,overload,stable
96,4.8,0.5,0.5,2838.5688,overload,stable
97,4.85,0.5,0.5,2946.6817,overload,stable
98,4.9,0.5,0.5,3056.7946,overload,stable
99,4.95,0.5,0.5,3168.9074,overload,stable
100,5.0,0.5,0.5,3283.0203,overload,stable
101,5.05,0.5,0.5,3399.1332,overload,stable
102,5.1,0.5,0.5,3517.2461,overload,stable
103,5.15,0.5,0.5,3637.3589,overload,stable
104,5.2,0.5,0.5,3759.4718,overload,stable
105,5.25,0.5,0.5,3883.5847,overload,stable
106,5.3,0.5,0.5,4009.6976,overload,stable
107,5.35,0.5,0.5,4137.8104,overload,stable
108,5.4,0.5,0.5,4267.9233,overload,stable
109,5.45,0.5,0.5,4400.0362,overload,stable
110,5.5,0.5,0.5,4534.1491,overload,stable
111,5.55,0.5,0.5,4670.2619,overload,stable
112,5.6,0.5,0.5,4808.3748,overload,stable
113,5.65,0.5,0.5,4948.4877,overload,stable
114,5.7,0.5,0.5,5090.6006,overload,stable
115,5.75,0.5,0.5,5234.7134,overload,stable
116,5.8,0.5,0.5,5380.8263,overload,stable
117,5.85,0.5,0.5,5528.9392,overload,stable
118,5.9,0.5,0.5,5679.052,overload,stable
119,5.95,0.5,0.5,5831.1649,overload,stable
120,6.0,0.5,0.5,5985.2778,overload,stable
121,6.05,0.5,0.5,6141.3907,overload,stable
122,6.1,0.5,0.5,6299.5035,overload,stable
123,6.15,0.5,0.5,6459.6164,overload,stable
124,6.2,0.5,0.5,6621.7293,overload,stable
125,6.25,0.5,0.5,6785.8422,overload,stable
126,6.3,0.5,0.5,6951.955,overload,stable
