step,t,mean_psi,std_psi,donor_species
0,0.0,0.5404,0.077,1
1,0.04,0.7303,0.1034,1
2,0.08,0.918,0.1293,1
3,0.12,1.1038,0.1546,1
4,0.16,1.288,0.1796,1
5,0.2,1.471,0.2042,1
6,0.24,1.6528,0.2286,1
7,0.28,1.8338,0.2527,1
8,0.32,2.0141,0.2768,1
9,0.36,2.1941,0.3008,1
10,0.4,2.374,0.3248,1
11,0.44,2.5539,0.3489,1
12,0.48,2.7341,0.3731,1
13,0.52,2.9148,0.3975,1
14,0.56,3.0963,0.4221,1
15,0.6,3.2787,0.447,1
16,0.64,3.4622,0.4723,1
17,0.68,3.6471,0.498,1
18,0.72,3.8336,0.5242,1
19,0.76,4.0219,0.5509,1
20,0.8,4.2123,0.5782,1
21,0.84,4.4048,0.6062,1
22,0.88,4.5999,0.6349,1
23,0.92,4.7976,0.6643,1
24,0.96,4.9983,0.6946,1
25,1.0,5.2021,0.7258,1
26,1.04,5.4094,0.758,1
27,1.08,5.6203,0.7912,1
28,1.12,5.8352,0.8255,1
29,1.16,6.0542,0.8611,1
30,1.2,6.2777,0.8979,1
31,1.24,6.5059,0.936,1
32,1.28,6.7392,0.9756,1
33,1.32,6.9778,1.0168,1
34,1.36,7.2221,1.0596,1
35,1.4,7.4723,1.1041,1
36,1.44,7.7289,1.1505,1
37,1.48,7.9921,1.1988,1
38,1.52,8.2624,1.2492,1
39,1.56,8.5402,1.3018,1
40,1.6,8.8257,1.3567,1
41,1.64,9.1196,1.414,1
42,1.68,9.4222,1.474,1
43,1.72,9.734,1.5368,1
44,1.76,10.0555,1.6025,1
45,1.8,10.3872,1.6713,1
46,1.84,10.7297,1.7435,1
47,1.88,11.0835,1.8191,1
48,1.92,11.4493,1.8985,1
49,1.96,11.8278,1.9819,1
50,2.0,12.2196,2.0694,1
51,2.04,12.6254,2.1615,1
52,2.08,13.046,2.2582,1
53,2.12,13.4824,2.36,1
54,2.16,13.9352,2.4672,1
55,2.2,14.4055,2.5801,1
56,2.24,14.8943,2.6991,1
57,2.28,15.4026,2.8246,1
58,2.32,15.9316,2.957,1
59,2.36,16.4825,3.0968,1
60,2.4,17.0565,3.2445,1
61,2.44,17.6551,3.4006,1
62,2.48,18.2798,3.5656,1
63,2.52,18.9321,3.7403,1
64,2.56,19.6137,3.9252,1
65,2.6,20.3266,4.1211,1
66,2.64,21.0727,4.3289,1
67,2.68,21.8541,4.5492,1
68,2.72,22.6732,4.7832,1
69,2.76,23.5324,5.0316,1
70,2.8,24.4345,5.2958,1
71,2.84,25.3824,5.5767,1
72,2.88,26.3794,5.8757,1
73,2.92,27.4287,6.1943,1
74,2.96,28.5343,6.5338,1
75,3.0,29.7003,6.896,1
76,3.04,30.931,7.2827,1
77,3.08,32.2315,7.6959,1
78,3.12,33.6072,8.1376,1
79,3.16,35.0638,8.6103,1
80,3.2,36.6079,9.1167,1
81,3.24,38.2468,9.6594,1
82,3.28,39.9881,10.2416,1
83,3.32,41.8408,10.8669,1
84,3.36,43.8145,11.5389,1
85,3.4,45.9199,12.2618,1
86,3.44,48.1691,13.0402,1
87,3.48,50.5755,13.8792,1
88,3.52,53.1539,14.7843,1
89,3.56,55.9214,15.7618,1
90,3.6,58.8968,16.8185,1
91,3.64,62.1016,17.9619,1
92,3.68,65.5601,19.2005,1
93,3.72,69.2999,20.5435,1
94,3.76,73.3525,22.0013,1
95,3.8,77.7541,23.5852,1
96,3.84,82.5462,25.308,1
97,3.88,87.7768,27.1836,1
98,3.92,93.5017,29.2276,1
99,3.96,99.7859,31.4571,1
100,4.0,106.6693,33.8141,1
101,4.04,114.2292,36.2995,1
102,4.08,122.5565,38.9132,1
103,4.12,131.7577,41.6527,1
104,4.16,141.9583,44.512,1
105,4.2,153.3067,47.4808,1
106,4.24,165.9781,50.5422,1
107,4.28,180.1399,53.6596,1
108,4.32,196.0308,56.7916,1
109,4.36,213.8954,59.889,1
110,4.4,234.019,62.8922,1
111,4.44,256.7581,65.7162,1
112,4.48,282.4874,68.2953,1
113,4.52,311.678,70.5188,1
114,4.56,344.9068,72.2187,1
115,4.6,382.8438,73.183,1
116,4.64,426.2551,73.1508,1
117,4.68,475.9936,71.8133,1
118,4.72,532.9727,68.8255,1
