step,t,psi_sensitive,psi_resistant,drug_on,regime_sensitive,regime_resistant
0,0.0,1.1101,0.7747,False,balanced,constrained
1,0.04,1.4155,0.9472,False,overload,balanced
2,0.08,1.7168,1.1178,False,overload,balanced
3,0.12,2.0147,1.2867,False,overload,overload
4,0.16,2.3099,1.454,False,overload,overload
5,0.2,2.6031,1.6201,False,overload,overload
6,0.24,2.8949,1.7851,False,overload,overload
7,0.28,3.1858,1.9492,False,overload,overload
8,0.32,3.4765,2.1126,False,overload,overload
9,0.36,3.7675,2.2755,False,overload,overload
10,0.4,4.0594,2.4381,False,overload,overload
11,0.44,4.3527,2.6006,False,overload,overload
12,0.48,4.6479,2.7631,False,overload,overload
13,0.52,4.9457,2.9259,False,overload,overload
14,0.56,5.2465,3.089,False,overload,overload
15,0.6,5.5509,3.2527,False,overload,overload
16,0.64,5.8594,3.4172,False,overload,overload
17,0.68,6.1726,3.5825,False,overload,overload
18,0.72,6.4911,3.7489,False,overload,overload
19,0.76,6.8153,3.9166,False,overload,overload
20,0.8,7.146,4.0857,False,overload,overload
21,0.84,7.4836,4.2564,False,overload,overload
22,0.88,7.8288,4.4288,False,overload,overload
23,0.92,8.1822,4.6031,False,overload,overload
24,0.96,8.5444,4.7796,False,overload,overload
25,1.0,8.9163,4.9583,False,overload,overload
26,1.04,9.2983,5.1395,False,overload,overload
27,1.08,9.6914,5.3233,False,overload,overload
28,1.12,10.0962,5.51,False,overload,overload
29,1.16,10.5135,5.6997,False,overload,overload
30,1.2,10.9442,5.8925,False,overload,overload
31,1.24,11.3892,6.0888,False,overload,overload
32,1.28,11.8493,6.2887,False,overload,overload
33,1.32,12.3257,6.4924,False,overload,overload
34,1.36,12.8192,6.7002,False,overload,overload
35,1.4,13.3311,6.9121,False,overload,overload
36,1.44,13.8624,7.1286,False,overload,overload
37,1.48,14.4145,7.3498,False,overload,overload
38,1.52,14.9885,7.576,False,overload,overload
39,1.56,15.5859,7.8073,False,overload,overload
40,1.6,16.2083,8.0442,False,overload,overload
41,1.64,16.8571,8.2868,False,overload,overload
42,1.68,17.534,8.5354,False,overload,overload
43,1.72,18.241,8.7904,False,overload,overload
44,1.76,18.9798,9.0519,False,overload,overload
45,1.8,19.7526,9.3205,False,overload,overload
46,1.84,20.5616,9.5963,False,overload,overload
47,1.88,21.4091,9.8797,False,overload,overload
48,1.92,22.2979,10.1711,False,overload,overload
49,1.96,23.2305,10.4709,False,overload,overload
50,2.0,24.21,10.7794,False,overload,overload
51,2.04,25.2396,11.0971,False,overload,overload
52,2.08,26.3228,11.4244,False,overload,overload
53,2.12,27.4633,11.7618,False,overload,overload
54,2.16,28.6652,12.1098,False,overload,overload
55,2.2,29.9328,12.4687,False,overload,overload
56,2.24,31.271,12.8393,False,overload,overload
57,2.28,32.6849,13.2219,False,overload,overload
58,2.32,34.1802,13.6173,False,overload,overload
59,2.36,35.763,14.026,False,overload,overload
60,2.4,37.44,14.4486,False,overload,overload
61,2.44,39.2185,14.8859,False,overload,overload
62,2.48,41.1065,15.3386,False,overload,overload
